,userID,username,ranking
21013,1090519,설몽룡,Gold
2014,2020,Glory Taek,Master
50502,3155508,명품승객,Silver
33107,1937513,응차단임,Gold
5091,5097,너정말짠해,Master
18614,922520,Rely on 솔,Gold
62592,3995598,엉덩국 시 우,Bronze
46701,2889507,EBS사장 펭수,Silver
20253,1034559,듀오안합니다1,Gold
12216,474522,전라인밍재,Platinum
2006,2012,가렌안한다,Master
66333,4261539,틀니낌,Bronze
69280,4464586,알파고켰습니다,Bronze
53930,3393536,101780322del,Silver
30330,1741536,채팅안하는이정걸,Gold
57383,3631589,니 0 거,Silver
31312,1811518,프로 지망인,Gold
7473,138579,안녕 난 기메시,Platinum
43990,2693596,SsoGG,Silver
55427,3498533,황인쥬지덜렁덜렁,Silver
11887,446593,트드롤,Platinum
30072,1720578,Jack Lawrence,Gold
46072,2840578,천둥쥐넉우리,Silver
68877,4436583,곱등이 야스오,Bronze
49224,3064530,까리비단,Silver
18551,915557,첨단탁이,Gold
52230,3274536,계획장교,Silver
61576,3925582,사재감,Silver
35818,2126524,진정한 원딜,Gold
22683,1202589,우주최강갓디르,Gold
68778,4429584,Kahz,Bronze
13970,593576,관 팅,Platinum
13250,544556,창창블리,Platinum
50337,3141543,배그랭커기모딱,Silver
57605,3652511,탱구리탱탱,Silver
36513,2175519,오민영벌쳐,Gold
35571,2105577,초대 걸지마,Gold
55141,3477547,미드랴이너,Silver
1402,1408,qldurtms,Master
57842,3666548,hansoomin,Silver
46036,2840542,응 슷,Silver
13091,530597,천사 소라카,Platinum
49060,3050566,찬희임당,Silver
51065,3190571,티모냐,Silver
24376,1321582,시원한플레이로가,Gold
68329,4401535,신 라 에 몽,Bronze
6613,82519,섬세준,Platinum
21594,1125600,딸기맛레오닉,Gold
21037,1090543,sgnnx,Gold
19757,999563,앞점프 사망,Gold
44112,2707518,구민엉덩이,Silver
26194,1447600,bubble fish,Gold
59916,3813522,38070747del,Silver
7322,131528,헤드셋끼고롤한판,Platinum
71149,4597555,싱싱한연어,Bronze
51614,3232520,JosiCoolEver,Silver
13714,579520,Gcz 우니,Platinum
20577,1055583,레알말걸지마셈,Gold
41178,2497584,묵2동,Silver
22597,1202503,동 워,Gold
44525,2735531,육군장기확정,Silver
21234,1104540,자동문에낀년,Gold
54314,3421520,RW KilluaT1,Silver
5658,12564,요양원몽마박옥희,Diamond
23694,1272600,풍풍이 형,Gold
12145,467551,nonametlqkf,Platinum
57807,3666513,아이스,Silver
47239,2924545,q평r평니얼굴8평,Silver
3810,3816,암살럭스,Master
16243,754549,능주고,Gold
36002,2140508,89530806del,Gold
62228,3974534,극락원,Silver
32852,1916558,돈 망,Gold
7992,173598,Lead the charge,Platinum
56386,3561592,Eddey,Silver
16573,775579,신용카드캡터체리,Gold
11869,446575,Beru,Platinum
25212,1384518,KoNTiNuE,Gold
39442,2378548,liililiiiliiiili,Silver
42425,2588531,smrmaak8,Silver
23499,1265505,baby5,Gold
21465,1118571,신노자,Gold
4282,4288,KKronGG,Master
24911,1363517,뱀 수,Gold
5952,33558,이건 귀하네요,Diamond
5937,33543,Natsumi7,Diamond
36648,2182554,얍실한언니,Gold
8789,229595,Sm플레이자이라,Platinum
58829,3736535,트럼프길가다뒤짐,Silver
71161,4597567,너는잘못없다,Bronze
2631,2637,은 립,Master
57114,3617520,dsaawm,Silver
21488,1118594,인사하는쿠우,Gold
24734,1349540,차다빈님,Gold
58359,3701565,깡냉이만턴다,Silver
1692,1698,그래도요,Master
58536,3715542,찬란한 요네,Silver
9394,271600,살찐놈,Platinum
29268,1664574,박서폿 박원딜,Gold
66775,4289581,도미 동,Bronze
29189,1657595,신도림역,Gold
5395,5401,이스비,Diamond
30451,1748557,KORIYO,Gold
51847,3246553,김 래 진,Silver
15393,691599,담비긔여어,Gold
20840,1076546,ll style,Gold
61652,3932558,20180804801,Silver
37327,2231533,차아씨,Gold
31691,1832597,전자담배도냄새나,Gold
26111,1447517,웃고잡냐,Gold
8280,194586,운재수아다리,Platinum
73881,4786587,56610529del,Iron
20727,1069533,Gun Zero,Gold
43189,2637595,서포터5,Silver
39154,2357560,대리게임 회원,Silver
1626,1632,사랑의추적자노라,Master
26693,1482599,LalaIa,Gold
50198,3134504,자이엉티,Silver
47405,2938511,김준셥,Silver
71886,4646592,sonspectrum ssi,Bronze
11580,425586,판교역,Platinum
49992,3113598,JAEJEONG0810,Silver
45161,2777567,여자죠하,Silver
