,userID,username,ranking
18122,412528,Bo X1 Lai,Gold
12894,253600,hhoot25,Platinum
41800,1123506,MN Myokish,Silver
48040,1309546,svklsnvlk,Silver
68296,1921502,Osenhor1,Bronze
36304,958510,sidestep stevie,Silver
14317,298523,Grandpa Haolin,Gold
26545,664551,The Alpaca Lips,Gold
26428,661534,russianbear252,Gold
53486,1471592,Ohmii,Silver
8044,109550,DieNastyy,Platinum
31809,823515,MOF Battery,Silver
67821,1906527,Aquarianaries,Bronze
26408,661514,HevansNight,Gold
49522,1354528,PureLivid,Silver
29200,745506,iFish,Gold
48992,1336598,JamesTheDirector,Silver
14850,313556,Sinners Club,Gold
16054,349560,Paradoxicide,Gold
4812,13518,KJ11,Diamond
30571,784577,Dr Knuckles,Gold
44266,1195572,Rapter500,Silver
67994,1909600,oslElliot,Bronze
61694,1720600,PJ Smiles,Bronze
51276,1405582,NealDon,Silver
49008,1339514,AFS Yin,Silver
14002,289508,sanlinevate,Gold
7250,85556,Azerthouskekw,Platinum
1292,1298,Disconnector,Master
67370,1891576,Jamsconics,Bronze
1014,1020,Hu Jiao Xiao Yao,Master
3668,3674,nonbreath oblige,Master
32664,847570,Youre Aporoble,Silver
28256,715562,Lemenear,Gold
51497,1414503,IxtalUnshackled,Silver
30638,787544,N1kola,Gold
37732,1000538,Traaailz,Silver
7913,106519,Run its Rumble,Platinum
31841,823547,Hii im Leo,Silver
62768,1753574,RoGeR48,Bronze
36765,970571,iSubb,Silver
37047,979553,Dmers,Silver
43709,1180515,Epictetus 369,Silver
58376,1621582,Weststeel,Bronze
56087,1552593,1slice1kill,Silver
26360,658566,Sheezuss,Gold
57322,1591528,Pepega Sniper,Bronze
12627,247533,Top lsland,Platinum
38232,1015538,IanChi0426,Silver
33054,859560,Good Grammar,Silver
56425,1564531,CapinCrunch4599,Silver
5659,37565,Dr LucianØ,Platinum
39498,1054504,Black magic Yu,Silver
21122,502528,SKT T1 Faker NA,Gold
16743,370549,MakeUrMoneyWrk4U,Gold
3771,3777,joshloveskaka,Master
10166,172572,j46332,Platinum
21087,499593,nubam,Gold
33553,874559,iWillShoRyuKen,Silver
30431,781537,xCapitalise,Gold
46987,1276593,Bahrush Jatief,Silver
50872,1393578,Gojin,Silver
34325,898531,Cinnabuns,Silver
33264,865570,Stevorama1234,Silver
5979,46585,Catleia,Platinum
50188,1372594,goward,Silver
26164,652570,Doubledick,Gold
