userID,username,ranking
6,tall and hot,Challenger
7,Jesus Wafflecat,Challenger
8,Yefot,Challenger
9,I am Sobek,Challenger
10,Max420360,Challenger
11,naizduP 997,Challenger
12,twtv regate1,Challenger
13,Coatpustmain,Challenger
14,bazant25,Challenger
15,LunaTown,Challenger
16,xlnt,Challenger
17,Scaryride,Challenger
18,mid useless uwu,Challenger
19,TAE Tiridus,Challenger
20,God King Yassuo,Challenger
21,Ambis,Challenger
22,dumb eboy,Challenger
23,Boots of Speed,Challenger
24,cinca,Challenger
25,90909090,Challenger
26,Mamm60n,Challenger
27,NezukoINThebox,Challenger
28,Wejker1,Challenger
29,Rókí,Challenger
30,Ragnar Łothbrοk,Challenger
31,Snoopy,Challenger
32,Kiοsbe,Challenger
33,Maciuś lat 8,Challenger
34,Csak1maradhat,Challenger
35,Tökgyalu,Challenger
36,MyTimeToBard,Challenger
37,KataForLife,Challenger
38,iga,Challenger
39,AwcyS,Challenger
40,kush uwu,Challenger
41,Dżankos Smurf,Challenger
42,Audire,Challenger
43,Venom Dei,Challenger
44,Dodge Zalech23,Challenger
45,Nihility,Challenger
46,Joseph Wilford,Challenger
47,Desperate Nasus,Challenger
48,MENTAL SIT DOWN,Challenger
49,contemplation,Challenger
50,zodiac99d14v9L,Challenger
51,SanSiroBro,Challenger
52,106111104110,Challenger
53,Necromartin,Challenger
54,Catstyle,Challenger
55,Natrium,Challenger
56,Panic Fear,Challenger
57,edru drug acc,Challenger
58,Nooyk,Challenger
59,Mr Senuai,Challenger
60,Topson fan,Challenger
61,5hadow,Challenger
62,undying desire,Challenger
63,06042000,Challenger
64,Saωaηo v2,Challenger
65,Roksa,Challenger
66,AAAAAAAIWANNADIE,Challenger
67,Hobbi,Challenger
68,Mæstro V2,Challenger
69,Stuffys,Challenger
70,I am Budzik,Challenger
71,feelings eternal,Challenger
72,apollo321,Challenger
73,shizeR31,Challenger
74,ForceUp,Challenger
75,SECODE,Challenger
76,Martïn,Challenger
77,Cougar Abuser,Challenger
78,Sir helpalot,Challenger
79,Araysh,Challenger
80,Mofre,Challenger
81,Razwen,Challenger
82,el Chap1nh0,Challenger
83,god complex ζ,Challenger
84,Laxoni,Challenger
85,Suicidal Supp,Challenger
86,Different Humble,Challenger
87,OdieCP,Challenger
88,Erring,Challenger
89,BYLB Eternal,Challenger
90,Ðaglas,Challenger
91,Εlite,Challenger
92,TryToStopMeee,Challenger
93,DafnisK,Challenger
94,AramSuirad,Challenger
95,Nyiri143,Challenger
96,Carry Only,Challenger
97,Ξ KG Ξ,Challenger
98,Worthless,Challenger
99,Endlave,Challenger
100,Camelott,Challenger
101,Rich Krzna,Challenger
102,AsOs420,Challenger
103,KotCurll,Challenger
104,Kizuro,Challenger
105,Ðžejno,Challenger
106,F1ko,Challenger
107,lonely 7,Challenger
108,VHeroes,Challenger
109,Siriαss,Challenger
110,bet u wish,Challenger
111,Jg diff bitsh,Challenger
112,Songu,Challenger
113,lIl LeXaR lIl,Challenger
114,Void Is So Empty,Challenger
115,Fishy Warrior,Challenger
116,Juhis,Challenger
117,Smutny Bambol,Challenger
118,jorskiiii,Challenger
119,Twister,Challenger
120,kolofou 58713,Challenger
121,Stoned Lichu,Challenger
122,high,Challenger
123,Peachy Baby,Challenger
124,xterminatorul,Challenger
125,Juzoo,Challenger
126,Stepcarry,Challenger
127,Ih4tethisg4me,Challenger
128,pitaya,Challenger
129,VuChina,Challenger
130,T12AFG4SGF911DA2,Challenger
131,KRILINEEE,Challenger
132,Perma Ban Kayle,Challenger
133,YOU WILL DODGE 2,Challenger
134,nGrOpHbIa,Challenger
135,Luculia,Challenger
136,ashton clutcher,Challenger
137,H1ghOnDrugs,Challenger
138,ÉZIC,Challenger
139,nyctophiliac,Challenger
140,Aquarin,Challenger
141,YoPoopU,Challenger
142,karol big D,Challenger
143,Igor Joda,Challenger
144,neko mommy,Challenger
145,peťo cmorik,Challenger
146,Szafer,Challenger
147,Nevczi,Challenger
148,no gf mechanics,Challenger
149,AnimeForLife,Challenger
150,Térrør,Challenger
151,lukuluku,Challenger
152,ΨWeed WizardΨ,Challenger
153,Trap40,Challenger
154,Ahrïana Grande,Challenger
155,the lord mardigo,Challenger
156,ImFromGliwice,Challenger
157,Lord Laki,Challenger
158,IddeWARRIOR,Challenger
159,Wasabo,Challenger
160,MLG IWTGankYou,Challenger
161,Lara Cröft,Challenger
162,Aufpassen,Challenger
163,PrimaI Instinct,Challenger
164,Buu,Challenger
165,Spyware,Challenger
166,SandwichMäker,Challenger
167,Hraju Jak Iron,Challenger
168,A1M,Challenger
169,Ciko89,Challenger
170,The Barrels,Challenger
171,voihanPRO,Challenger
172,GGWP Svitania,Challenger
173,Túróstészta,Challenger
174,MkdPro123,Challenger
175,Kayto,Challenger
176,Lewiak,Challenger
177,honest12,Challenger
178,TSM khalid,Challenger
179,Mrož,Challenger
180,Àphelioz,Challenger
181,PooEyedCripple,Challenger
182,FBI OPEN BOTLANE,Challenger
183,IVameless,Challenger
184,xShadowsx12,Challenger
185,soul xo,Challenger
186,Toda Raba2,Challenger
187,Ti hee,Challenger
188,H2P Gucio,Challenger
189,Huberţ,Challenger
190,Rogers Steve,Challenger
191,Pintek,Challenger
192,JinX3dd,Challenger
193,Kugai,Challenger
194,Jοnttu,Challenger
195,RobinTheLegend,Challenger
196,ANIA KMWTW PL 69,Challenger
197,renwis,Challenger
198,RoyalDor,Challenger
199,Tomara,Challenger
200,lövhögen,Challenger
201,TheDuckyK,Grandmaster
202,Insightful,Grandmaster
203,490,Grandmaster
204,nithali,Grandmaster
205,Porosaver,Grandmaster
206,Dútes,Grandmaster
207,Kondrajwer,Grandmaster
208,Rinkhalz,Grandmaster
209,Hornlime,Grandmaster
210,The Purple Clown,Grandmaster
211,MadBrØwciuLife,Grandmaster
212,I cant Ieash,Grandmaster
213,health issues,Grandmaster
214,Captain Bear,Grandmaster
215,μπιζέλης,Grandmaster
216,PalacsintaKing,Grandmaster
217,Aggress1on,Grandmaster
218,PressR DDave,Grandmaster
219,TheBlackPrince,Grandmaster
220,znowu przegiolem,Grandmaster
221,Mindsly,Grandmaster
222,ElPapiChulo,Grandmaster
223,Barrełs,Grandmaster
224,Diamond 0re,Grandmaster
225,HAHAHA EUNE XDDD,Grandmaster
226,Samael,Grandmaster
227,WADAFAK ZED,Grandmaster
228,Narrovv,Grandmaster
229,MomoVeliaDeviluk,Grandmaster
230,FearDrug,Grandmaster
231,Vinmorr,Grandmaster
232,DCT01,Grandmaster
233,eh sad life,Grandmaster
234,Fonsito,Grandmaster
