userID,username,ranking
6,dntmdgkrhtlvdjdy,Challenger
7,Lathyrus,Challenger
8,AHäHäCiK,Challenger
9,TheRoyalKanin,Challenger
10,Pride0,Challenger
11,Szygenda,Challenger
12,Neon1337Ad,Challenger
13,Targamas,Challenger
14,sheø,Challenger
15,Agurin,Challenger
16,Xhen Doo,Challenger
17,GOOS,Challenger
18,MSF Sertuss,Challenger
19,Expecto Patrounm,Challenger
20,Veignorem,Challenger
21,Yikeru,Challenger
22,Víþer,Challenger
23,ZWYRØØØ,Challenger
24,Dzukill,Challenger
25,happy gαme,Challenger
26,pr1meé,Challenger
27,partlycloudy1,Challenger
28,best viego ever,Challenger
29,GW toucouille,Challenger
30,Thinking PLZ,Challenger
31,Annie IRL,Challenger
32,ممزق,Challenger
33,Peng04,Challenger
34,Albetray,Challenger
35,IcyGale,Challenger
36,spooky keduii,Challenger
37,113 XD,Challenger
38,Namex,Challenger
39,i dream lucid,Challenger
40,Qnoxs,Challenger
41,SAKEN1,Challenger
42,See u lceland,Challenger
43,IWILLMAKEIT1,Challenger
44,tryharder123,Challenger
45,ShadowMonarch1,Challenger
46,AST MagiFelix,Challenger
47,Shending el HP,Challenger
48,Markoon,Challenger
49,Ukazat,Challenger
50,Whiteakitout,Challenger
51,Kaor1,Challenger
52,Dvvayne Johnson,Challenger
53,wincg,Challenger
54,magic jg4165432,Challenger
55,Supaaa,Challenger
56,twtv Melljo,Challenger
57,Jαvier,Challenger
58,Burdol 1225,Challenger
59,qwfwgsdgsdgwAqf,Challenger
60,qweasdf,Challenger
61,Razørk Activoo,Challenger
62,Ragnér2,Challenger
63,huntiandi1,Challenger
64,balagan,Challenger
65,TheDisconnect,Challenger
66,Sunflοwer,Challenger
67,M1dLaoban,Challenger
68,Envy0,Challenger
69,Walid Georgey,Challenger
70,SLY Eyliph,Challenger
71,Kobbe,Challenger
72,xerxe fan,Challenger
73,FERRETTT,Challenger
74,Vichennnn,Challenger
75,TakeSet sama,Challenger
76,Boukada,Challenger
77,it s just over,Challenger
78,Alan234,Challenger
79,Kite Machine,Challenger
80,G 2 3 H 1 Z U,Challenger
81,Go Ha Go Ha,Challenger
82,ismaaa,Challenger
83,Deádly,Challenger
84,WiIIyrex Fanboy,Challenger
85,Fatihcan,Challenger
86,matiaslaclasse,Challenger
87,Sboi155,Challenger
88,TwTv Reptile9LoL,Challenger
89,Heart of Nazgul,Challenger
90,Beanovich,Challenger
91,Melonik,Challenger
92,Albetrayber,Challenger
93,Shending LP,Challenger
94,mebadinleague,Challenger
95,FFFFFFFFFFFERRET,Challenger
96,Odysseus131,Challenger
97,coverunder,Challenger
98,7zx,Challenger
99,IPaintItBlack,Challenger
100,ten and a half,Challenger
101,Ragnér1,Challenger
102,Sawyor,Challenger
103,JingleDingle,Challenger
104,Scarlet Rose,Challenger
105,chenzelot,Challenger
106,SMB NuQ,Challenger
107,Snowman RatirL,Challenger
108,Sorya,Challenger
109,Erdotee,Challenger
110,Drututt,Challenger
111,scarface xyz,Challenger
112,VGIA 113,Challenger
113,TEAM Autophil,Challenger
114,fastFF,Challenger
115,Hawk Stroker,Challenger
116,TwTv elramirlol,Challenger
117,zmywara kaseko,Challenger
118,Srry4MyOldMe,Challenger
119,Juliusz Cezar,Challenger
120,Sebekx,Challenger
121,Koupfonga,Challenger
122,Tazaku,Challenger
123,dayikooooo,Challenger
124,Savage love,Challenger
125,kerberos int acc,Challenger
126,jiaVX PaoPaoPW,Challenger
127,zxvnmtzx,Challenger
128,PQPAANLS,Challenger
129,ION Marrow Ooze,Challenger
130,selfmadeTnT,Challenger
131,Divine0,Challenger
132,Princess Kuba,Challenger
133,tomate y lechuga,Challenger
134,Canam,Challenger
135,dajor25,Challenger
136,Practice,Challenger
137,Szybent,Challenger
138,RGO Odi11,Challenger
139,Gripless,Challenger
140,Ttv Lathyrus,Challenger
141,Advienne,Challenger
142,LosPiesDAitana,Challenger
143,death ends,Challenger
144,seaz test acc,Challenger
145,Decay0,Challenger
146,FGG,Challenger
147,tibor,Challenger
148,ttvsyndroomboy,Challenger
149,Stefanzzzzzzzzxz,Challenger
150,Gorubo fan,Challenger
151,Kieran Tierney,Challenger
152,SPEEDOBEAR,Challenger
153,F13RC3,Challenger
154,Kldfar,Challenger
155,Roi DEMON,Challenger
156,Cutepatootie,Challenger
157,Tanu,Challenger
158,Eckas1,Challenger
159,Heimskáut réfur,Challenger
160,WatchMyPuppets,Challenger
161,erk1,Challenger
162,Leon der Leon,Challenger
163,PATRiCK BATEMANZ,Challenger
164,Matthew L,Challenger
165,Maître Splinter,Challenger
166,Kirei sama,Challenger
167,yort,Challenger
168,Undercover ChimP,Challenger
169,januaryneverends,Challenger
170,missing it,Challenger
171,Ye Xiu1,Challenger
172,RGO Lurox,Challenger
173,Tacto123 si 4,Challenger
174,Bad timing xd,Challenger
175,Frei sein,Challenger
176,Chad Movement,Challenger
177,Vizícsacsi,Challenger
178,DWG KIA Canyon,Challenger
179,darkchri99,Challenger
180,Οbsess,Challenger
181,bnaduhas,Challenger
182,enjawve,Challenger
183,SURTR R1SING,Challenger
184,NATANATANATANATA,Challenger
185,Raven2,Challenger
186,Sebeks,Challenger
187,bluerzor,Challenger
188,Jeyrus,Challenger
189,Bojji,Challenger
190,Shαwn Frost,Challenger
191,Giant Monster,Challenger
192,Soul of Lucifar,Challenger
193,Happy Alexx,Challenger
194,Like a n1nja,Challenger
195,WO DIUUUUUUUUU,Challenger
196,sheøqlf,Challenger
197,Jigoa,Challenger
198,FB Neramin1,Challenger
199,S8DiamondDog,Challenger
200,Baby Tarz1,Challenger
201,Red Winter,Challenger
202,Roıson,Challenger
203,RabbIe Arouser,Challenger
204,Mid bad COPIUM,Challenger
205,αfm,Challenger
206,knight9źź,Challenger
207,NoELO4uSir,Challenger
208,EDG Innaxe,Challenger
209,Shawi Katami,Challenger
210,TSM FTX Giyuu,Challenger
211,spaghetti bud,Challenger
212,TwTv VintrezEu,Challenger
213,GOREDRINKER HAHA,Challenger
214,JungDostoevskiy,Challenger
215,Iow expectations,Challenger
216,im car,Challenger
217,Hejdå Sverige,Challenger
218,slowqq,Challenger
219,Kusa o Miko,Challenger
220,Undercover SlotH,Challenger
221,Obstinatus,Challenger
222,LIMIT12345,Challenger
223,BlauBarschBube,Challenger
224,FB Kunduz,Challenger
225,Lekcyc,Challenger
226,Akrowz,Challenger
227,Ben Cristovao,Challenger
228,Xiu II,Challenger
229,człowiek z gazu,Challenger
230,CG Kaymin,Challenger
231,twohoyrz1,Challenger
232,borcigendale,Challenger
233,Gilius2,Challenger
234,hiro3,Challenger
235,Ashamed Man,Challenger
236,Ryan McCombs,Challenger
237,MADM Camavinga,Challenger
238,ŁPL Top,Challenger
239,Helpful Slipper,Challenger
240,ΨΞΞΞΞΞΞΨ,Challenger
241,Kikis,Challenger
242,Envy Carry,Challenger
243,AØH,Challenger
244,SaNTaS,Challenger
245,x4T7,Challenger
246,Detrimentum,Challenger
247,Stormaxx,Challenger
248,Tοαst,Challenger
249,SlNGED,Challenger
250,tetris guden,Challenger
251,TwTv Ronges1,Challenger
252,Lοvelorn,Challenger
253,fooling around,Challenger
254,an evil presence,Challenger
255,IDRNKURMILKSHAKE,Challenger
256,de sidere11,Challenger
257,nukëduck,Challenger
258,phlaty,Challenger
259,FNC MAHDI,Challenger
260,CG Afroboi,Challenger
261,Poppuszka,Challenger
262,Myrtus,Challenger
263,HRN Joinze,Challenger
264,KwK AlVaRo710,Challenger
265,Mike Wazοwski,Challenger
266,TraYtoN,Challenger
267,kanaaa,Challenger
268,BR Lord Semi,Challenger
269,Seminol,Challenger
270,Πανούλης,Challenger
271,PARUS 2,Challenger
272,Gray KDA Toplane,Challenger
273,MeritxeIl,Challenger
274,Gilius1,Challenger
275,Quinncidence,Challenger
276,Aesenar,Challenger
277,SirNukesAlott,Challenger
278,maciej wartak,Challenger
279,DEVN,Challenger
280,qweqweqwe,Challenger
281,LFT Musa51,Challenger
282,LithuanianCanyon,Challenger
283,Engage,Challenger
284,Paulaeal,Challenger
285,AIba Madalyon,Challenger
286,Oghuzkhand,Challenger
287,dehastee,Challenger
288,UOL Cryptodir,Challenger
289,CR Lowfire,Challenger
290,RoseLMonster,Challenger
