userID,username,ranking
6,Kingen,Challenger
7,GGGori,Challenger
8,KT PerfecT,Challenger
9,디알엑스 태윤,Challenger
10,KT Way,Challenger
11,아이러니2,Challenger
12,은가뉴,Challenger
13,참새크면비둘기,Challenger
14,BRO Chieftain,Challenger
15,T1 Zeus,Challenger
16,구글검색제드팀,Challenger
17,bao1,Challenger
18,zzzusss,Challenger
19,tnedifnoc syawla,Challenger
20,jianpanxia,Challenger
21,Pnpm,Challenger
22,Shadow FA 03,Challenger
23,zxckas0dk,Challenger
24,나는 준일하다,Challenger
25,Gen G Khael,Challenger
26,독기품기,Challenger
27,T1 Berserker,Challenger
28,용호야,Challenger
29,갱붕이,Challenger
30,Pz ZZang,Challenger
31,해가 뜨기 직전,Challenger
32,Epilogue for you,Challenger
33,오뚜기3분미트볼,Challenger
34,BRO Hoya,Challenger
35,T1 F0rest,Challenger
36,한 줄의 기억,Challenger
37,Ucal,Challenger
38,BRO Delight,Challenger
39,와인 한잔 주쎄요,Challenger
40,칼과 창 방패,Challenger
41,이진용이진용,Challenger
42,희망의 무지개,Challenger
43,KT VicLa,Challenger
44,Shadow 7777k,Challenger
45,FA Decky,Challenger
46,으라차차으라차차,Challenger
47,Aljlrpaxljkljxto,Challenger
48,살퀸레,Challenger
49,구체맛좀볼래,Challenger
50,Gen G Peyz,Challenger
51,Lpc11,Challenger
52,laozishifanpai,Challenger
53,다람쥐땅콩빼앗기,Challenger
54,BRO Yaharong,Challenger
55,Sw22t but Psycho,Challenger
56,카사돌,Challenger
57,사 용 수,Challenger
58,숨지마라 룰루,Challenger
59,폭탄치우기,Challenger
60,deokdam,Challenger
61,mid ten10,Challenger
62,호잇이,Challenger
63,Lehends,Challenger
64,Erilia,Challenger
65,스물다섯번째밤,Challenger
66,Joe and Quinn,Challenger
67,snzll,Challenger
68,여름아나를왜물어,Challenger
69,KT Castle,Challenger
70,vlrhsgody,Challenger
71,NS Yusin,Challenger
72,Destiny,Challenger
73,Liiv Effort,Challenger
74,누쇤퍅,Challenger
75,Shadow HamBak,Challenger
76,HU1K,Challenger
77,Twitch아라드,Challenger
78,changguiiiiiiiii,Challenger
79,No longer love,Challenger
80,FA Arad,Challenger
81,DK Lucid,Challenger
82,DK Chasy,Challenger
83,다없수질,Challenger
84,cong tou kai shi,Challenger
85,Yagao,Challenger
86,N0T Angry,Challenger
87,hong he wo de,Challenger
88,사막낙타,Challenger
89,zzzzussss,Challenger
90,강욱냥,Challenger
91,탑안옴힘들어해요,Challenger
92,FA Young JG,Challenger
93,lIllIIlIIlIIlII,Challenger
94,asdzlttjj,Challenger
95,KT Dove,Challenger
96,almond bon bon,Challenger
97,pzz 1,Challenger
98,Music and me,Challenger
99,분신컨트롤,Challenger
100,BZZZIII,Challenger
101,디알엑스 제트,Challenger
102,Mg mid,Challenger
103,푹 쉬면서 해요,Challenger
104,이엠프티,Challenger
105,BRO Hena,Challenger
106,DK Kingdom,Challenger
107,naiyoubaby,Challenger
108,율천고 최현우,Challenger
109,진짜이거말이안돼,Challenger
110,hao yun bao bei,Challenger
111,tan hua yi xian,Challenger
112,미소녀우진,Challenger
113,NS Sylvie,Challenger
114,FATE,Challenger
115,농심라면다내꺼야,Challenger
116,Gen G Karis,Challenger
117,가민준,Challenger
118,chinajungIe,Challenger
119,Y0UTUBE Axiyo,Challenger
120,한영원,Challenger
121,역시폭군,Challenger
122,시간의 숲,Challenger
123,튀자튀자아,Challenger
124,Shadow2003,Challenger
125,워웍뿌삐,Challenger
126,23gg,Challenger
127,Shadow Rabblt,Challenger
128,Fisherr,Challenger
129,Jh2nhj2rjoh,Challenger
130,Liiv OnFleek,Challenger
131,502 Error,Challenger
132,DoRun,Challenger
133,콜록콜록 갬기,Challenger
134,hunzi2,Challenger
135,미 호,Challenger
136,극악법 경탄서멸,Challenger
137,AF Keine,Challenger
138,Xinzhaobaobei,Challenger
139,xin wu pang wu,Challenger
140,want home l,Challenger
141,Gen G Quid,Challenger
142,ADC Honey,Challenger
143,Naehyun,Challenger
144,Clever9,Challenger
145,700125,Challenger
146,윤용호,Challenger
147,KT 5kld,Challenger
148,권 지 인,Challenger
149,Shadow Nia,Challenger
150,Juhana,Challenger
151,pingwozhijiedian,Challenger
152,choooovvyyyyy,Challenger
153,IgNar,Challenger
154,건들지마용,Challenger
155,재훈이의 모함,Challenger
156,wu guan feng yue,Challenger
157,Brona,Challenger
158,Gen G Dice,Challenger
159,Yorick,Challenger
160,순뀨박,Challenger
161,돼지와함께춤을a,Challenger
162,오동1,Challenger
163,2002 12 31 XD,Challenger
164,K T,Challenger
165,shenzhenshaoye,Challenger
166,Crucile,Challenger
167,FA YuriKR,Challenger
168,134987,Challenger
169,엔 햐,Challenger
170,irasu1,Challenger
171,SnowFlow2r,Challenger
172,행복하고싶다하하,Challenger
173,JustLikeThatKR,Challenger
174,Axiyo,Challenger
175,New ADC,Challenger
176,못할 때도 있지,Challenger
177,Liiv Howling,Challenger
178,jkjkjkjkk,Challenger
179,T1 M1reu,Challenger
180,FIORAKlNG,Challenger
181,SugiKim,Challenger
