userID,username,ranking
6,Oakbewwy,Challenger
7,Johnsun123,Challenger
8,Yunbee7,Challenger
9,Sheiden2,Challenger
10,Qitong,Challenger
11,Davemon,Challenger
12,The Tank Man,Challenger
13,Allorim,Challenger
14,SHERN,Challenger
15,lsles,Challenger
16,Eyla,Challenger
17,Breezyyy,Challenger
18,Busio3,Challenger
19,TL Yeon,Challenger
20,I am Súnlight,Challenger
21,Dhokla,Challenger
22,Swid Style,Challenger
23,BE Yuuji,Challenger
24,APA1,Challenger
25,Revenge,Challenger
26,Spirax,Challenger
27,Good Boi,Challenger
28,zhong guo5,Challenger
29,LeenK LCS,Challenger
30,zhong guo,Challenger
31,twtv itakute,Challenger
32,Sheiden1,Challenger
33,RHINOOOOOOOOOOOO,Challenger
34,ControlMageEGirl,Challenger
35,MaIthaeI,Challenger
36,pizzaman007,Challenger
37,Sophist Sage,Challenger
38,liantiguaiwu,Challenger
39,Neøø,Challenger
40,Nzm,Challenger
41,Feather Daddy,Challenger
42,KingOfAbeyance,Challenger
43,TempestLoveYuely,Challenger
44,shxchi,Challenger
45,insanityxd,Challenger
46,Vakin,Challenger
47,Kelpo,Challenger
48,Pocket Rhinooooo,Challenger
49,Strompest,Challenger
50,KryRa,Challenger
51,no invade pls,Challenger
52,WX EGIDOEB2021,Challenger
53,waste it on mekk,Challenger
54,Draven696969,Challenger
55,Zyko,Challenger
56,Dragoon,Challenger
57,Call Lin,Challenger
58,Braıne,Challenger
59,Djalal,Challenger
60,Kurose,Challenger
61,BETTERJGSUPWIN,Challenger
62,donbray1,Challenger
63,Yura1,Challenger
64,Scenari0,Challenger
65,Oronuke,Challenger
66,raheen1,Challenger
67,Karasmai v9,Challenger
68,Airflash,Challenger
69,TEMP 27236133,Challenger
70,Sword2,Challenger
71,Thats Not Fervor,Challenger
72,KEITHMCGRIEF,Challenger
73,Copý,Challenger
74,wx NAtongtiandai,Challenger
75,Shoubee,Challenger
76,GSDFQWASD,Challenger
77,Ynuaj,Challenger
78,DeadGemini,Challenger
79,plez,Challenger
80,Sheiden9,Challenger
81,CC Shogo,Challenger
82,karasuno setter,Challenger
83,TL Armao,Challenger
84,Ablazeolive,Challenger
85,C9 Copy,Challenger
86,Ryu Min seok,Challenger
87,SkyTec,Challenger
88,700kg grandma,Challenger
89,jjkinggg,Challenger
90,Ke Ie,Challenger
91,Yue yun zhi feng,Challenger
92,TheRealPhilip,Challenger
93,Stabsie,Challenger
94,Sweet Tangerine,Challenger
95,Kang Sae Byeok1,Challenger
96,hanason1,Challenger
97,concept x,Challenger
98,Arc en ciel,Challenger
99,Pobelter,Challenger
100,iloveyou1234,Challenger
101,AllGirlsRTheSame,Challenger
102,DIG Spawn,Challenger
103,Pseudo,Challenger
104,Kittisaur,Challenger
105,Karhus,Challenger
106,MASSGAINER44,Challenger
107,VX Najuehuo,Challenger
108,Tweva,Challenger
109,Tçº,Challenger
110,WayneDwops,Challenger
111,poome1,Challenger
112,rjsdndgod,Challenger
113,Juice WrId,Challenger
114,C9 Chad Draven,Challenger
115,dfgtredfg4,Challenger
116,edgy fanboy2137,Challenger
117,BoilThe0il,Challenger
118,Stars Hear Mee,Challenger
119,Hakuho,Challenger
120,Lemur,Challenger
121,Cupic,Challenger
122,TwitchTv Jugttv,Challenger
123,Z Score,Challenger
124,Seranok,Challenger
125,onlyzz,Challenger
126,EDG Jan Sali,Challenger
127,ChuChuZ,Challenger
128,bye im gosu,Challenger
129,align my chakras,Challenger
130,Daption,Challenger
131,EU Red,Challenger
132,yukino cat,Challenger
133,Saico v Tomgirls,Challenger
134,KiNG Nidhogg,Challenger
135,Dimitrylol,Challenger
136,KatEvolved,Challenger
137,TyChee,Challenger
138,hotaze,Challenger
139,qufl,Challenger
140,Augustine,Challenger
141,Busio JNG,Challenger
142,Wekin Poof,Challenger
143,Deng It,Challenger
144,Shiba lnu,Challenger
145,Sheiden3,Challenger
146,Eclipse,Challenger
147,A D,Challenger
148,Nathan Ryan,Challenger
149,neeko sex king,Challenger
150,TSM Eclipse,Challenger
151,ZYQ,Challenger
152,Doublelift,Challenger
153,Shupian,Challenger
154,Pentaless1 TTV,Challenger
155,Wxx REB20201,Challenger
156,DirtyMobs,Challenger
157,100 Kenvi,Challenger
158,DARK WlNGS,Challenger
159,Prototype white,Challenger
160,RexRequired,Challenger
161,sai desu,Challenger
162,Thë Çàtmínt,Challenger
163,izuyui,Challenger
164,Le JunMa,Challenger
165,tibs2,Challenger
166,NøticeMeSenpai,Challenger
167,Laserholic,Challenger
168,Winter,Challenger
169,Pure Kawaii,Challenger
170,petitpois facher,Challenger
171,Avers,Challenger
172,timal,Challenger
173,Scyrnn,Challenger
174,Yi Du Zi Qi,Challenger
175,callum koi,Challenger
176,Burento,Challenger
177,raymondye123,Challenger
178,aiai panxi,Challenger
179,Queen IU,Challenger
180,N L,Challenger
181,rainº,Challenger
182,DAMIIMAD,Challenger
183,Tempos,Challenger
184,Mimic v9,Challenger
185,Bejjj,Challenger
186,Contrail,Challenger
187,DEMON FACT,Challenger
188,bradleyyy,Challenger
189,Bury The Past,Challenger
190,wohenshengqi,Challenger
191,Dime,Challenger
192,RoseThorn,Challenger
193,JohnnyCap,Challenger
194,KoKoNwoo,Challenger
195,perryjg,Challenger
196,DU 4 LQVE,Challenger
197,LowKeySavagé,Challenger
198,DPM,Challenger
199,TailsJJ,Challenger
200,Nim Chimpsky,Challenger
201,smart play,Challenger
202,Zeyzal69,Challenger
203,EvanRL,Challenger
204,Keel7,Challenger
205,Lyteskin,Challenger
206,pawn0,Challenger
207,Pekin Woof,Challenger
208,Chime2,Challenger
209,ABC123X,Challenger
210,Kitzuo,Challenger
211,aknid,Challenger
212,ćam,Challenger
213,Pinwinasio,Challenger
214,Blitz,Challenger
215,ubao,Challenger
216,Rienfleché,Challenger
217,Sayhoon,Challenger
218,Just1,Challenger
219,Stitch º,Challenger
220,Cozy Shroud,Challenger
221,Chase v9,Challenger
222,Matty,Challenger
223,Berik,Challenger
224,Fanthom,Challenger
225,Fake smiIes,Challenger
226,Detention,Challenger
227,Guess da number,Challenger
228,EBIC GAMER,Challenger
229,1Maxim,Challenger
230,Omly,Challenger
231,SkyTec6,Challenger
232,MySwordCrimson,Challenger
233,Nhavilay,Challenger
234,Sudzzi,Challenger
235,lamour de ma vié,Challenger
236,MyDreamAkatsuki,Challenger
237,Alyri OnlyFans,Challenger
238,Eric Wei,Challenger
239,KingClueless,Challenger
240,Mojo Jojo,Challenger
241,Fear,Challenger
242,MONSTER CHAD GOD,Challenger
243,Messages,Challenger
244,Gay Conservative,Challenger
245,Ariendel,Challenger
246,Juyin,Challenger
247,C9 Avril,Challenger
248,ID ToT,Challenger
249,Ethiridis,Challenger
250,Kyriu,Challenger
251,C9 eXyu,Challenger
252,oooooooöooooooo,Challenger
253,Gravebloom,Challenger
254,ßazz B,Challenger
255,Twitch BTangLoL,Challenger
256,Nikkone,Challenger
257,Instincttt,Challenger
258,Twillie,Challenger
259,CYD NGU,Challenger
260,WX Code0103,Challenger
261,Zud,Challenger
262,5tunt,Challenger
263,NiceChompers,Challenger
264,Businessman47,Challenger
265,llllllllllllIIll,Challenger
266,roguebunny0,Challenger
267,Aizo,Challenger
268,ALHM 39,Challenger
269,zzoe,Challenger
270,Logia,Challenger
271,FZ3R0,Challenger
272,Rënekton,Challenger
273,Le Kachu,Challenger
274,Dark Wingdom,Challenger
275,Blacc Massu,Challenger
276,DarbBarf,Challenger
277,naejunhaogu,Challenger
278,hoidro,Challenger
279,Aiax,Challenger
280,Satoshi,Challenger
281,lgneous,Challenger
282,miyabun,Challenger
283,gemí,Challenger
284,a redemption arc,Challenger
285,Sum,Challenger
286,talonkill,Challenger
287,YNO BLITZ,Challenger
288,Competition9,Challenger
289,Ran Out of Wit,Challenger
290,Cpt Underpants,Challenger
291,Wolzie,Challenger
292,winloss fun,Challenger
293,the crangler,Challenger
294,Juheon,Challenger
295,Pockus,Challenger
296,THE CLlMB BACK,Challenger
297,Outsmarted,Challenger
298,jamican banana,Challenger
299,Kennnyy,Challenger
300,Rowpit,Challenger
301,Cadu,Grandmaster
302,quantumfan,Grandmaster
303,Resilientsupport,Grandmaster
304,Asyc,Grandmaster
305,mind is calm,Grandmaster
306,Tempos Time,Grandmaster
307,Dopamine Tracker,Grandmaster
308,TC porsche,Grandmaster
309,ULTRAMARATHON,Grandmaster
310,Main Sup,Grandmaster
311,CaptBear,Grandmaster
312,charity,Grandmaster
313,A5PECT,Grandmaster
314,Fishlord,Grandmaster
315,Kennywalol1,Grandmaster
316,SandPaperX,Grandmaster
317,mumu cat,Grandmaster
318,all mb,Grandmaster
319,insung,Grandmaster
320,TSM Spica,Grandmaster
321,Søxo,Grandmaster
322,Ivern xdd,Grandmaster
323,Wackaroni,Grandmaster
324,saltmarwasmid,Grandmaster
325,tenacityyy,Grandmaster
326,MaRiTiMuS,Grandmaster
327,Zativert Vi,Grandmaster
328,Stiifo,Grandmaster
329,TwTvLolplayerbad,Grandmaster
330,lose,Grandmaster
331,perry1,Grandmaster
332,TSMFTX Lost,Grandmaster
333,VioletRoses,Grandmaster
334,Snowy Steps,Grandmaster
335,Jouzef,Grandmaster
336,Matts Cat,Grandmaster
337,Han Yi,Grandmaster
338,THE Jons,Grandmaster
339,KkkkCcccPrty,Grandmaster
340,Not Sengo,Grandmaster
341,Hero Himmel,Grandmaster
342,träp,Grandmaster
343,QUANTE,Grandmaster
344,Roffamau2,Grandmaster
345,Fated Enigma,Grandmaster
346,TSM FrostForest,Grandmaster
347,BIossoms,Grandmaster
348,rank1mandingo,Grandmaster
349,Kaizer Morde,Grandmaster
350,Secret PIayer,Grandmaster
351,toreshi,Grandmaster
352,KryRa 16,Grandmaster
353,Just A Nub IRL,Grandmaster
354,animegirl2007,Grandmaster
355,97KR,Grandmaster
356,Yoshi,Grandmaster
357,Luv Dark,Grandmaster
358,Gweiss,Grandmaster
359,Yutwo,Grandmaster
360,Kazahana,Grandmaster
361,JungIe is weak,Grandmaster
362,Falling,Grandmaster
363,parnelly,Grandmaster
364,Fated Temper,Grandmaster
365,gerkahn1,Grandmaster
366,UnDankDragon,Grandmaster
367,SUPPORT lS WEAK,Grandmaster
368,Yung Fappy,Grandmaster
369,The Exceed,Grandmaster
370,Pz ZZang fangirl,Grandmaster
371,Emprisonner,Grandmaster
372,Sybr,Grandmaster
