,userID,username,ranking
24387,613093,SephyFox,Gold
56346,1573052,Edudantys,Bronze
48528,1339034,ForSaKen Blade,Silver
45949,1261055,dpnVch,Silver
56565,1579071,AtinaGrande,Bronze
48043,1324049,reptilewolf120,Silver
62912,1771018,Ufokaija,Bronze
42491,1156097,mjmxz,Silver
30028,784034,Perversu,Gold
22990,571096,diwanday,Gold
16965,391071,Umademedoit,Gold
28544,739050,HAHAHAHHHAHAHAHA,Gold
45098,1237004,AmKix,Silver
7763,115069,Coyot55,Platinum
12565,259071,Sacko00,Platinum
41621,1132027,D1rty D14n4,Silver
50717,1405023,SA3OODY,Silver
22084,544090,Mareczek123321,Gold
63297,1783003,BloodyXardas,Bronze
52074,1444080,Eadjothe,Silver
53291,1480097,Random Jolanda,Silver
23392,583098,Majeti,Gold
1503,1509,ExtremeShotz,Master
21655,532061,Exoduus14,Gold
22009,544015,AkaliInMyMind,Gold
22141,547047,Nikola Dimitrije,Gold
21837,538043,H3adLeSs,Gold
38958,1051064,Kotoro x3,Silver
22404,556010,niger congnik,Gold
44400,1216006,aq4arius,Silver
28278,730084,Jarelien,Gold
2794,2800,dF EpicFail,Master
11835,238041,Lord Khada Jhin,Platinum
9663,172069,Big Black Ego,Platinum
3854,3860,BUM CHI,Diamond
47308,1303014,O TENTAS,Silver
9321,163027,TheA1pha,Platinum
53975,1501081,Monika Staruzik,Bronze
53568,1489074,Fokinio,Bronze
39546,1069052,GumenaPatka,Silver
23455,586061,Savicc108,Gold
32773,865079,Eryss,Silver
39825,1078031,Icoudorci,Silver
46357,1273063,UlicniDecak97,Silver
31807,838013,Belgijska Fryta,Silver
20651,502057,Sebuś69,Gold
27767,715073,MartinVFX,Gold
41128,1117034,Hacuna Matata,Silver
57334,1603040,Dexterius29,Bronze
59211,1660017,Elrick,Bronze
38861,1048067,Gabrieloza32,Silver
1326,1332,MyLittleKunai,Master
61979,1741085,Marcin37,Bronze
26932,691038,MafiozniK,Gold
54369,1513075,Local Choncho,Bronze
29993,781099,kima29,Gold
65477,1846083,parto 1v9,Bronze
47181,1297087,LifeStealer21,Silver
30457,796063,Miensko,Gold
14386,313092,Dekads,Gold
31333,823039,Zonrajafalcon,Silver
16112,367018,Veragorn,Gold
20598,502004,Southsidin,Gold
7583,109089,YouAreInTheRing,Platinum
31626,832032,l Lοlek l,Silver
42754,1165060,Lewandowski02,Silver
48363,1333069,CherryWhite,Silver
55433,1546039,0rganicTea,Bronze
61081,1714087,Vabiorn,Bronze
11732,235038,YordleSuzerain,Platinum
