,gameId,gameDuration,gameVersion,platformId,season,winner,1st_baron,1st_dragon,1st_inhibitor,1st_riftHerald,1st_tower,t1_baron_kills,t1_champ_kills,t1_dragon_kills,t1_inhibitor_kills,t1_riftHerald_kills,t1_tower_kills,t1_team_assists,t1_team_gold_earn,t1_team_gold_spen,t1_team_kda,t2_baron_kills,t2_champ_kills,t2_dragon_kills,t2_inhibitor_kills,t2_riftHerald_kills,t2_tower_kills,t2_team_assists,t2_team_gold_earn,t2_team_gold_spen,t2_team_kda
0,2957271762,1675,11.21.403.3002,EUN1,11,2,0,2,2,2,2,0,36,1,0,0,4,31,52154,50233,1.675,0,40,3,3,1,10,64,61497,52760,2.888888888888889
1,2956676240,1667,11.21.403.3002,EUN1,11,1,1,2,1,0,2,1,33,2,1,0,7,38,53671,49530,2.0285714285714285,0,35,2,0,0,3,36,51963,49325,2.1515151515151514
2,2924324049,1512774,11.18.395.7538,EUN1,11,1,1,1,1,2,1,1,32,3,1,1,8,45,47906,41850,4.529411764705882,0,17,0,0,1,2,15,38531,37043,1.0
3,2917925104,1867697,11.17.394.4489,EUN1,11,2,2,2,2,2,2,0,26,2,0,0,0,41,48231,47710,1.8611111111111112,1,36,2,4,1,11,48,57816,48760,3.230769230769231
4,2951548423,1831,11.20.400.7328,EUN1,11,1,1,2,1,1,1,1,41,3,3,1,11,57,62329,55950,4.9,0,20,2,0,0,1,22,46083,44350,1.024390243902439
5,2951484950,1383,11.20.400.7328,EUN1,11,1,0,2,1,1,1,0,29,1,3,1,11,43,48276,39313,12.0,0,6,1,0,0,0,6,29405,27310,0.41379310344827586
6,2965183607,1927,11.22.406.3587,EUN1,11,2,0,2,2,2,1,0,28,0,0,0,4,21,52365,47933,1.1951219512195121,0,41,5,3,1,11,55,61024,53115,3.4285714285714284
7,2944325151,194,11.20.400.7328,EUN1,11,1,0,0,0,0,0,0,0,0,0,0,0,0,4352,2350,0.0,0,0,0,0,0,0,0,4282,1975,0.0
8,2961645579,1728,11.21.403.3002,EUN1,11,2,1,1,2,2,2,1,24,2,0,0,3,16,46635,44600,1.1111111111111112,0,36,2,1,1,9,43,54711,48575,3.2916666666666665
9,2960958566,1480,11.21.403.3002,EUN1,11,1,0,1,1,1,1,0,30,3,1,1,6,19,43736,38900,2.5789473684210527,0,19,0,0,0,0,15,38336,35545,1.1333333333333333
10,2962445493,2041,11.21.403.3002,EUN1,11,2,2,1,2,2,2,0,34,3,0,0,3,58,58815,57475,1.6140350877192982,1,57,2,3,1,11,64,77211,67055,3.5588235294117645
11,2957341015,1389,11.21.403.3002,EUN1,11,1,2,2,1,1,1,0,33,2,2,1,10,36,48385,42800,2.875,1,24,1,0,0,1,27,40521,37975,1.5454545454545454
12,2729394356,1999546,11.3.357.5376,EUN1,11,2,2,1,2,2,2,0,30,2,0,0,5,37,55827,51750,1.488888888888889,1,45,2,3,2,11,40,65929,59351,2.8333333333333335
13,2727841163,2107314,11.3.357.5376,EUN1,11,1,1,2,1,0,1,1,41,2,3,0,9,39,65272,59408,2.0,0,40,3,0,0,4,39,59674,55385,1.9268292682926829
14,2912773681,1440117,11.17.393.607,EUN1,11,2,0,2,2,2,2,0,7,0,0,0,0,13,33381,30875,0.7407407407407407,0,27,4,3,2,11,27,49086,43250,7.714285714285714
15,2912801036,1358821,11.17.393.607,EUN1,11,1,0,1,1,1,1,0,42,3,2,2,10,44,51668,45155,4.526315789473684,0,19,0,0,0,0,22,35144,33833,0.9761904761904762
16,2963440027,1768,11.21.403.3002,EUN1,11,2,2,2,2,2,2,0,30,1,0,1,3,34,51787,50545,1.8285714285714285,1,35,4,1,1,7,44,57769,52158,2.6333333333333333
