,id
0,EUW1_5540777304
1,EUW1_5540794297
2,EUW1_5538104688
3,EUW1_5538059134
4,EUW1_5065924116
5,EUW1_5065874375
6,EUW1_5297144524
7,EUW1_5297014891
8,EUW1_5537296369
9,EUW1_5537279320
10,EUW1_5537688285
11,EUW1_5537776522
12,EUW1_5508807911
13,EUW1_5416371846
14,EUW1_5489269409
15,EUW1_5476997069
16,EUW1_5538561585
17,EUW1_5538426598
18,EUW1_5489940896
19,EUW1_5489830612
20,EUW1_5507864956
21,EUW1_5507802605
22,EUW1_5540763787
23,EUW1_5540231582
24,EUW1_5454086201
25,EUW1_5451159068
26,EUW1_5539518848
27,EUW1_5531422040
28,EUW1_5539630214
29,EUW1_5539558191
30,EUW1_5423480817
31,EUW1_5405352035
32,EUW1_5464042803
33,EUW1_5464012890
34,EUW1_5529287110
35,EUW1_5527131533
36,EUW1_5084279176
37,EUW1_5084278002
38,EUW1_5529421318
39,EUW1_5529335378
40,EUW1_5467576527
41,EUW1_5459259259
42,EUW1_5123890692
43,EUW1_5123803467
44,EUW1_5306364710
45,EUW1_5237971918
46,EUW1_5537522535
47,EUW1_5537387180
48,EUW1_5539730034
49,EUW1_5539727243
50,EUW1_5416116408
51,EUW1_5416184266
52,EUW1_5538672963
53,EUW1_5538518218
54,EUW1_5318589446
55,EUW1_5318525474
56,EUW1_5297205345
57,EUW1_5297087825
58,EUW1_5315435072
59,EUW1_5315304943
60,EUW1_5540684533
61,EUW1_5540588549
62,EUW1_5527043296
63,EUW1_5527017469
64,EUW1_5518368218
65,EUW1_5500692114
66,EUW1_5526044403
67,EUW1_5514226005
68,EUW1_5525029271
69,EUW1_5522269966
70,EUW1_5527804017
71,EUW1_5527727170
72,EUW1_5238433962
73,EUW1_5121044709
74,EUW1_5501734090
75,EUW1_5501609790
76,EUW1_5305653844
77,EUW1_5293705292
78,EUW1_5540303260
79,EUW1_5540156938
80,EUW1_5540677299
81,EUW1_5540618894
82,EUW1_5436766725
83,EUW1_5436690114
84,EUW1_5446663776
85,EUW1_5440624195
86,EUW1_5540684386
87,EUW1_5540577954
88,EUW1_5538434066
89,EUW1_5538367968
90,EUW1_5540143868
91,EUW1_5535285614
92,EUW1_5507851369
93,EUW1_5507756656
94,EUW1_5540244385
95,EUW1_5473956956
96,EUW1_5475577608
97,EUW1_5451813284
98,EUW1_5507311983
99,EUW1_5507246405
100,EUW1_5539847499
101,EUW1_5538965680
102,EUW1_5284524371
103,EUW1_5251934522
104,EUW1_5535647139
105,EUW1_5526688056
106,EUW1_5540072262
107,EUW1_5539992048
108,EUW1_5441108427
109,EUW1_5435546172
110,EUW1_5540722202
111,EUW1_5540516499
112,EUW1_5539676679
113,EUW1_5539643744
114,EUW1_5383939531
115,EUW1_5383752422
116,EUW1_5535681927
117,EUW1_5533295762
118,EUW1_5515736407
119,EUW1_5515658806
120,EUW1_5538929834
121,EUW1_5538974171
122,EUW1_5141989957
123,EUW1_5142004490
124,EUW1_5524597516
125,EUW1_5478939801
126,EUW1_5457333510
127,EUW1_5457291479
128,EUW1_5429924721
129,EUW1_5428635429
130,EUW1_5540790329
131,EUW1_5540826736
132,EUW1_5526433988
133,EUW1_5525803226
134,EUW1_5488922094
135,EUW1_5484575504
136,EUW1_5463912356
137,EUW1_5299487990
138,EUW1_5526522475
139,EUW1_5512670296
140,EUW1_5385375789
141,EUW1_5381858752
142,EUW1_5513890867
143,EUW1_5513723768
144,EUW1_5526574602
145,EUW1_5526561550
146,EUW1_5282356382
147,EUW1_5170017359
148,EUW1_5540239501
149,EUW1_5540214760
150,EUW1_5445053234
151,EUW1_5444856690
152,EUW1_5354226665
153,EUW1_5354097339
154,EUW1_5483260538
155,EUW1_5361613873
156,EUW1_5540631201
157,EUW1_5538720086
158,EUW1_5532272522
159,EUW1_5531906176
160,EUW1_5176848275
161,EUW1_5149617787
162,EUW1_5540764118
163,EUW1_5540660089
164,EUW1_5538890471
165,EUW1_5536537743
166,EUW1_5353595107
167,EUW1_5353640646
168,EUW1_5471852455
169,EUW1_5471750888
170,EUW1_5537472502
171,EUW1_5537335309
172,EUW1_5540487386
173,EUW1_5540438910
174,EUW1_5225677107
175,EUW1_5225663748
176,EUW1_5540184171
