,gameId,gameDuration,gameVersion,platformId,season,winner,1st_baron,1st_dragon,1st_inhibitor,1st_riftHerald,1st_tower,t1_baron_kills,t1_champ_kills,t1_dragon_kills,t1_inhibitor_kills,t1_riftHerald_kills,t1_tower_kills,t1_team_assists,t1_team_gold_earn,t1_team_gold_spen,t1_team_kda,t2_baron_kills,t2_champ_kills,t2_dragon_kills,t2_inhibitor_kills,t2_riftHerald_kills,t2_tower_kills,t2_team_assists,t2_team_gold_earn,t2_team_gold_spen,t2_team_kda
0,5426660684,1427744,11.17.394.4489,KR,11,2,0,2,2,2,1,0,5,0,0,1,1,5,32992,30950,0.5263157894736842,0,19,2,1,1,4,52,42662,36525,14.2
1,5426646101,2357992,11.17.394.4489,KR,11,1,1,1,1,2,1,2,37,4,1,1,9,41,74149,67895,2.1666666666666665,0,36,2,0,1,3,48,70119,68960,2.27027027027027
2,5545231223,2321,11.22.406.3587,KR,11,2,1,1,1,1,1,1,42,2,2,2,10,57,76079,84735,1.7678571428571428,1,56,4,2,0,8,78,79643,73110,3.1904761904761907
3,5544965247,1239,11.22.406.3587,KR,11,1,0,1,1,1,1,0,31,2,2,1,9,23,44014,39785,9.0,0,6,0,0,0,0,8,28229,27175,0.45161290322580644
4,5545830573,1365,11.22.406.3587,KR,11,1,0,1,0,1,1,0,14,2,0,1,3,26,39516,35475,4.444444444444445,0,9,0,0,0,1,7,35003,30885,1.1428571428571428
5,5545736881,1810,11.22.406.3587,KR,11,2,2,2,0,1,2,0,24,2,0,1,3,28,54028,50983,1.368421052631579,1,38,1,0,1,5,46,61891,56250,3.5
6,5536446532,1262,11.21.403.3002,KR,11,1,0,1,1,1,1,0,28,2,2,1,10,30,44064,39435,8.285714285714286,0,7,0,0,0,0,9,27862,25083,0.5714285714285714
7,5488059802,994890,11.19.398.9466,KR,11,2,0,2,2,2,2,0,6,0,0,0,1,5,24816,22985,0.4782608695652174,0,23,2,1,1,7,27,36642,29408,8.333333333333334
8,5527037433,1153,11.21.403.3002,KR,11,1,0,2,0,2,2,0,29,2,0,0,4,21,39956,33228,2.6315789473684212,0,19,1,0,1,2,17,35669,33930,1.2413793103448276
9,5526945621,1330,11.21.403.3002,KR,11,1,1,1,1,1,1,1,28,2,2,1,10,38,48384,42825,4.4,0,15,0,0,1,3,32,37830,34683,1.6785714285714286
