,puuid
0,CL4nt8uHGCix2aFnCizmZLFgO6oNiT1Pt2x8pc5nu7tW1eGD_Eo19CYcR8oLHe_ks2f8414uNR60eA
1,G9Z7tPVfTHA3KYSQdgYaJaJhRcI44YDlwWTcKfkwY2Djb485IFYv6z5W5ynZfyUC98aUBHhZcM0TqQ
2,ima1RYhhy3wP7Y2mOBv6wgKEJfJ7SJSAPq7dlTQEzNpVH91cg9vkFTk7sOl2k-ClGDCqXruf5KvA3Q
3,sTNbC5lOl7qrGZAs6nRWUp0lVNsqiWDI0sXIkkE3XqdeBRg5EIGaugW42vYO_HkYroXBRfCqqGqABw
4,j6gp4SshhfO2Wo-sWtpwCFWsm1TKBTFEyKtC6-I7p6kmlh2TIIo4V_jXmaCNx7P1GP3TBlK4KaC6_A
5,bvOtC9hOfOoj2NyVe3BM1Xgmir29xgtSKwpbVoVpK2vPvgL7jNSJfPORFljGS0sTRNBzGE-AvrO2eA
6,JliVn0MmwMeOWfU-r3-Yjt9btwnP2cxzda98rFuc9FrevmEAVO1O0Rt-jzUvhJEhDIeUdhgmU-mkmA
7,7t-sitBbV3aZVfpejTetUlE9Qrq76rh1rm20F7YYGg1DFJmkc1WJoSwvwV9YXb8CIMviKxI53vkrFA
8,fr6MlgSth64ArNLSWJe-2k3jobNxc_5yZ179QC9GuJ9Cf6_RLAwE2x6SIMz2zezTpFeo0etuKHlVOw
9,VlQEhI-C_7n4tJOQGVDftc1ECWgtW7e0HcW5vLqFgNU6IYY06vBhWnNx_nYLYKe7Mh20FpluOk4T0Q
10,Z0FhdGpCJK9WGzbaI7uApNpRcimhvsBV2TGGA5KhUM-OBzbUtkmwpLcqhSOOOxJvnY7174F419-uAA
11,uulQ37b5n3TU_bS2FnFchAuhz5bxcYXmyI0_YFQKui6t5XovPJCW8Q-8wOyYL77mWmDjbVLSq_1fbQ
12,gtcppo3UW8WQw_nFTMfMAl6nFuHiSZorIzea3Cde0DV_JwUZW9EFMfOZPmmnDklwEjMKHlCzkZqoww
13,If8KwqtWr2JuosrIpIMG51sNv1djOJDE7VvEO7TWRpARPD6YJLLWfWuPEIeA9LI_9oTqZ9c1eIeKVQ
14,2vXaX1SPe79T17OlMd7np2YhR4LiWieBtFtx2_VEgKlL8_r6xXBHLOdfMrlYMhl7Vd8iQ7p3y9mxPw
15,xUvAvS6G8trXXgqPQU4jh8bqkVictb--RC7xNdiNJv88ZG9fIKYah4lmb13UjEvZk6g09u0uWZ8akg
16,Fjv1ADCCt1R0c0wCnkXTFW9JFUS1rWKQNnzFoAHiyl3z5I-q6UTZLL_adx3RC62UXmSKwYUoQ6ILUw
17,mjr2Uuuk-1-KKkxt6ojMFlH0mzMJPzCAw-ezo1b6cFidcn2SdEuJWXkfa9pvZgo2u4JCvGGgrQ1IkA
18,KFVyL2ekjPl0ha-k5nEvXIIX152IoGqUqn8dRheJKt8pl-uJ0JhoITkw_unshBE1tFR3Sj4XFMVjuA
19,nqSqjtSHHUQj3rhKMhZATShAAVCox4-cCVev3M5WKLRbGR-3iM9SpPSyKYCAK0VvxVboVwuQDkTRLQ
20,km3JngzOXsY1EO56cF6qRyhB0T9gwKXAK8JOWm5RoWVpixZuxBN1mHQJVPcXRjVsGBCB1FU1lZmDZA
21,5UMjVYazkEkeaJPWoX8_CynN1dgnJl6dqylPQ_ogu1Qrk4gXmJGX45nD26gO_KuS2VJ_SPD7F1iGbg
22,kMwK1UXWHYJxNdiXEMtYFSf3Ife-jAtIoBZ3fBHamK7QM0gmxAh98N8ekQS9SAOBVGhiOxhsmnF2iA
23,ggzziRQa24hIPTIGtqEkb7umVI0JCHRSbdPoxg-IVZUdhpDDLirOCxBDXiNADNS-iFnwm7LlIldtxQ
24,CMec4kGLdVqRe3nG58XrDlZqs_TQvc3K9h5co-e8VxNpvCtt4xKrN9pT7uYE242ooVjes-25zu7xCg
25,GgTJ6OE0rIHqCiicEdME-Ux_pK__1JhO-jLQsWywtW7Fb68nMkpQ2hN19-_4iN_dkZvh8DrNxjjWeA
26,z95oPl5YcQsPrKjzPsvDV5rcMykgkpOXc58i_RH6h0OVKORG6mB88VEj_avMaG9OtbX35TL4L7fflQ
27,O7IDGi3wJ_cu5NssITpAPL9Hjd5LiOcmCDvWd1dcSdmRpL5UE8BlUVVbZmxiDAFAt31_W-vbt9Z5Ug
28,sem8R6vAZRm8PH-XPLlptEKrbvk1i-lbIL2lLCa0CEC7M_A_qU3JGSKwH72yNMcwLeCAWBiBVM3xIQ
29,uDwSnIaq0NwbLZDKOLY_S6zUDjRjx1n7sudvTiZBio-pfWYinFz0Wah3VknEw5x5lhJY8pVjrC0j5Q
30,Tz-7T7O5zbG_5hnXJpBEkcz4SfQQWvJewAXiBGBoosQJnI4dieXrIAfAMktIAbeSyLLE7iLk-aHENg
31,wX7JXHmm2J4GJZ9IZZ6jZ40jrtpKFQtUbFnZd1tSUoVvyWNgxPUNFCtCGxNsuIUg1u8ws_Wzk84bHA
32,eVxuG6kb7x_mSN1O0lV19mE-xk6-uUvcFQP7p1lW1GQco4BLUu_FvDJXP7GUCH1GHNsNEv154Jer2w
33,KTYV9uyh_8kq7HROODeGeqflGuGN-6viNvqa7gFZJA5Vh9E2-ss924TnsQWo9EqtDnLs2Nss1Dd4Og
34,jUs7CePqO4-azTo6lZUvNlx1DMvqBj1diSHWsdYem6IzQ6VmTNiZEA1OUZMyiaQcCdsdE8yqVJ8UCg
35,FQV-6q3tst93QdlVZLPDdANjA2a053RoB2kJQW2uxm8gRJHpaXcbfqLF3JoxzNGeP74l04vFFUAnew
36,wotcrqY_A8Py1AW2AQbFWXJY7RvNuLbgp8NkcG53TDcUFtZw6Ew6fH0Z-3-INB4UV6h966V1CTacuA
37,p8FoZlytA1S_4T0mC44znPuEl4Lu8PV4WPi0oRBWpCi2KRKpOYODaVzjOJMYm133790hf1NMHj5zow
38,cq6_74saIi27GDeqQIZV0uLndGm-VrgkwRPuwUEvV_OZemFFlygObXjT5fCPfzoLZfkKhqL2g0d13g
39,46GtblEKPAd4fDC-qeK21KrNeBV4WTZbiVeCg8iFrxB2AybPxuwTOmuncHlwu1t53eepJwQO_gKUCw
40,WJ2rA35c8CaONqz-L526AdgYBW_OvBpcXzwhKWfX4snemjXH1JMdk4JfR-ArGdKYJTPy0MIK9QI4hQ
41,dlDU02l6ZRsAFUEfoyA5Ctala7Se614X9ZLf8U8HzTFsCa2SbPbH3YTrze6Qclb2zlocetcMdWTtQA
42,xxr8DM-1Qcm_DpfSN-uSANwTvAhOWj1quPop936VV0lltX2u882O7GSpo6JsZl1q7vS5VKgYjjQ-7A
43,f3Ioizh19FRVmWjX6VpLumdOuA3yVB23WAxVtHwL37jZZyZ47rc4FsZGzXOy8AMIjmwOB2tGfgWhSw
44,5A69DPOao2xDqpGicQzJ6ZffH8mA0tuo6gZAgrMVXilFU7DXUpUQZMjQewFkygmfH2qyBoSbLvDFag
