,id
0,NA1_4093005308
1,NA1_4075410742
2,NA1_3905301824
3,NA1_3904688211
4,NA1_4092696441
5,NA1_4092672535
6,NA1_4091749734
7,NA1_4087557238
8,NA1_3936225307
9,NA1_3934219853
10,NA1_4075592803
11,NA1_4066235574
12,NA1_4054586052
13,NA1_3968864159
14,NA1_4013714396
15,NA1_3996367783
16,NA1_4093000020
17,NA1_4092352292
18,NA1_4089968840
19,NA1_4089867089
20,NA1_4049802648
21,NA1_4049769322
22,NA1_4092971226
23,NA1_4087464579
24,NA1_4018954249
25,NA1_4018923989
26,NA1_4088610525
27,NA1_4085107188
28,NA1_4092599300
29,NA1_4091446154
30,NA1_4092307052
31,NA1_4080048053
32,NA1_4093121848
33,NA1_4091669310
34,NA1_4040030676
35,NA1_4030194736
36,NA1_4093071711
37,NA1_4092620343
38,NA1_4084318590
39,NA1_4083515159
40,NA1_3939515013
41,NA1_3931298987
42,NA1_4087361652
43,NA1_4082592089
44,NA1_3763266004
45,NA1_3750278588
46,NA1_3794235316
47,NA1_3794169483
48,NA1_3951985473
49,NA1_3951584014
50,NA1_4013604992
51,NA1_4013538651
52,NA1_3985874148
53,NA1_3985709161
54,NA1_3864987742
55,NA1_3864222761
56,NA1_4092979607
57,NA1_4092863670
58,NA1_4068977429
59,NA1_4068899396
60,NA1_4093150151
61,NA1_4093002249
62,NA1_4091778139
63,NA1_4091771127
64,NA1_4085402063
65,NA1_4085369823
66,NA1_3843258788
67,NA1_3843214175
68,NA1_4026377071
69,NA1_3822743462
70,NA1_4062957170
71,NA1_4062930456
72,NA1_4068616516
73,NA1_4058411651
74,NA1_4062627292
75,NA1_4062575328
76,NA1_4086086372
77,NA1_3968414831
78,NA1_4082904172
79,NA1_4080812077
80,NA1_4029488800
81,NA1_4027950912
82,NA1_3996544080
83,NA1_3957919246
84,NA1_3755069876
85,NA1_3746696604
86,NA1_4093020817
87,NA1_4082002232
88,NA1_4083685304
89,NA1_4081189925
90,NA1_3911631520
91,NA1_3911587144
92,NA1_4091744326
93,NA1_4091639554
94,NA1_4067508773
95,NA1_4067556134
96,NA1_3911072357
97,NA1_3911039621
98,NA1_4092683793
99,NA1_4092627635
100,NA1_4090358948
101,NA1_4088839358
102,NA1_4088840715
103,NA1_4088778456
104,NA1_4092999727
105,NA1_4092946141
106,NA1_4092839444
107,NA1_4092840391
108,NA1_4089201681
109,NA1_4089128169
110,NA1_4014189678
111,NA1_4008650607
112,NA1_4093112707
113,NA1_4093047722
114,NA1_4077392187
115,NA1_4075892121
116,NA1_3940663080
117,NA1_3940566362
118,NA1_4039519795
119,NA1_4039416831
120,NA1_4008775878
121,NA1_4008701079
122,NA1_3806939886
123,NA1_3806900246
124,NA1_4083339884
125,NA1_4071058607
126,NA1_4092763010
127,NA1_4092685970
128,NA1_4061086477
129,NA1_4061080474
130,NA1_4025534612
131,NA1_4025551304
132,NA1_4047489842
133,NA1_3896792868
134,NA1_4090541708
135,NA1_4090436716
136,NA1_3904586653
137,NA1_3875315558
138,NA1_4092341077
139,NA1_4088068187
140,NA1_4040349551
141,NA1_4034308097
142,NA1_4087915057
143,NA1_4087901667
144,NA1_4083772173
145,NA1_4083735268
146,NA1_4085496834
147,NA1_4081451311
148,NA1_4038953655
149,NA1_4038980764
150,NA1_4078529775
151,NA1_4077883275
152,NA1_4039562162
153,NA1_4015262255
154,NA1_4090798051
155,NA1_4089541708
156,NA1_4087933764
157,NA1_4087929979
158,NA1_4092564569
159,NA1_4092561183
160,NA1_4091941865
161,NA1_4077636585
162,NA1_4026784518
163,NA1_4026081055
164,NA1_4091512566
165,NA1_4091467691
166,NA1_4091496247
167,NA1_4091472189
168,NA1_4092641176
169,NA1_4092545987
170,NA1_4087593708
171,NA1_4082918465
172,NA1_4060657511
173,NA1_4053690415
174,NA1_4048944705
175,NA1_4005611795
176,NA1_3897853734
177,NA1_3897765677
178,NA1_4084811445
179,NA1_4084766161
180,NA1_3957666556
181,NA1_3957620407
182,NA1_4035913758
183,NA1_4035847735
184,NA1_4085772239
185,NA1_4085676818
186,NA1_3880765580
187,NA1_3880750796
188,NA1_4078697129
189,NA1_4014569116
190,NA1_4041041506
191,NA1_4040968179
192,NA1_4017804740
193,NA1_4017707296
194,NA1_3964919606
195,NA1_3964679010
196,NA1_4085952763
197,NA1_4085920309
198,NA1_3971354264
199,NA1_3971292462
200,NA1_3880793070
201,NA1_3879991145
202,NA1_4036626813
203,NA1_3985226722
204,NA1_4067460492
205,NA1_4067406911
206,NA1_4092372431
207,NA1_4091574849
208,NA1_4092899970
209,NA1_4092821011
210,NA1_4080599854
211,NA1_4080594777
212,NA1_4085442916
213,NA1_4085460169
214,NA1_4060729777
215,NA1_4060649480
216,NA1_4028190761
217,NA1_4027808276
218,NA1_4073511707
219,NA1_4073390070
220,NA1_4092229789
221,NA1_4092118371
222,NA1_4027536835
223,NA1_4027487264
224,NA1_4086039078
225,NA1_4080245028
226,NA1_3894996614
227,NA1_3803388943
228,NA1_3785901542
229,NA1_3785844625
230,NA1_4075553761
231,NA1_4070144690
232,NA1_4022069318
233,NA1_3980738093
234,NA1_3897981003
235,NA1_3896892078
236,NA1_4093101131
237,NA1_4093067215
238,NA1_4091632065
239,NA1_4091568171
240,NA1_4083950184
241,NA1_4078859835
242,NA1_3950623314
243,NA1_3929347495
244,NA1_3860194746
245,NA1_3858350244
246,NA1_4087160194
247,NA1_4086472099
248,NA1_4091010237
249,NA1_3905552175
250,NA1_4091799223
251,NA1_4091604741
252,NA1_4008685957
253,NA1_3934223590
254,NA1_3852654083
255,NA1_3852649788
256,NA1_4037531569
257,NA1_4037145809
258,NA1_3948456558
259,NA1_3948492026
260,NA1_4091716575
261,NA1_4091710498
262,NA1_3860446436
263,NA1_3860428375
264,NA1_4085436171
265,NA1_4085481631
266,NA1_4089289324
267,NA1_4089321297
268,NA1_4090422103
269,NA1_4090407568
270,NA1_4089203966
271,NA1_4088070605
272,NA1_3891833254
273,NA1_3890604982
274,NA1_4088420848
275,NA1_4087952703
276,NA1_3960586667
277,NA1_3960595691
278,NA1_4091886972
279,NA1_4091821084
280,NA1_4086547521
281,NA1_4085041839
282,NA1_4001224198
283,NA1_3993722831
284,NA1_4092725058
285,NA1_4091674834
286,NA1_4019571759
287,NA1_3965682139
288,NA1_3939153557
289,NA1_3891674099
290,NA1_3828673749
291,NA1_3828302117
292,NA1_3943829292
293,NA1_3929163908
294,NA1_4064014520
295,NA1_4064000105
296,NA1_3801447998
297,NA1_3800861516
298,NA1_4050261715
299,NA1_4050198794
300,NA1_4032700875
301,NA1_4032655337
302,NA1_4048202472
303,NA1_4048144282
304,NA1_4070128021
305,NA1_4070135987
306,NA1_3979367693
307,NA1_3979343708
308,NA1_4090613718
309,NA1_4090557599
310,NA1_4083759660
311,NA1_4083768120
312,NA1_4091466048
313,NA1_4086148493
314,NA1_4091652556
315,NA1_4091548756
316,NA1_4085799279
317,NA1_4082045596
318,NA1_3860382701
319,NA1_3860331573
320,NA1_3963951198
321,NA1_3963894595
322,NA1_3787992134
323,NA1_3787908297
324,NA1_4092613733
325,NA1_4092559161
326,NA1_4092840399
327,NA1_4092764153
328,NA1_4091674684
329,NA1_4091549570
330,NA1_4091728753
331,NA1_4091694113
332,NA1_4092864997
333,NA1_4091835679
334,NA1_3746175532
335,NA1_3746151533
336,NA1_3823481400
337,NA1_3823435973
338,NA1_4036452528
339,NA1_3896244674
340,NA1_4024950935
341,NA1_4024592493
342,NA1_4091653826
343,NA1_4091587803
344,NA1_3972613166
345,NA1_3972589852
346,NA1_4045123187
347,NA1_4042465193
348,NA1_4032863707
349,NA1_4025866331
350,NA1_4071720158
351,NA1_4071359887
352,NA1_4063112090
353,NA1_4063019237
354,NA1_3982106467
355,NA1_3980794911
356,NA1_4083372550
357,NA1_4075529376
358,NA1_4079800449
359,NA1_4079706474
360,NA1_4091353990
361,NA1_4066445414
362,NA1_4082664117
363,NA1_4082661944
364,NA1_4081260332
365,NA1_4081188490
366,NA1_4092984830
367,NA1_4092899465
368,NA1_3939145985
369,NA1_3902476936
370,NA1_4075213891
371,NA1_4064075364
372,NA1_4032789943
373,NA1_4032665597
374,NA1_3988374361
375,NA1_3986365657
376,NA1_4009277174
377,NA1_4009250410
378,NA1_4088053204
379,NA1_4088060057
380,NA1_4089242757
381,NA1_4088489576
382,NA1_4092832062
383,NA1_4092735036
384,NA1_4080462136
385,NA1_4080438478
386,NA1_4070611462
387,NA1_4070528382
