,gameId,gameDuration,gameVersion,platformId,season,winner,1st_baron,1st_dragon,1st_inhibitor,1st_riftHerald,1st_tower,t1_baron_kills,t1_champ_kills,t1_dragon_kills,t1_inhibitor_kills,t1_riftHerald_kills,t1_tower_kills,t1_team_assists,t1_team_gold_earn,t1_team_gold_spen,t1_team_kda,t2_baron_kills,t2_champ_kills,t2_dragon_kills,t2_inhibitor_kills,t2_riftHerald_kills,t2_tower_kills,t2_team_assists,t2_team_gold_earn,t2_team_gold_spen,t2_team_kda
0,2961676781,1611,11.21.403.3002,EUN1,11,2,1,2,2,2,2,1,26,0,0,0,0,42,46621,45090,2.2666666666666666,0,30,4,2,1,8,32,52394,43325,2.3846153846153846
1,2934652169,1619210,11.19.398.9466,EUN1,11,1,0,1,1,1,1,0,40,3,2,1,8,37,51121,48135,3.2083333333333335,0,24,1,0,0,2,26,42046,39085,1.25
2,2934678269,1495618,11.19.398.9466,EUN1,11,2,0,2,2,2,2,0,21,0,0,0,0,26,38254,36820,1.4242424242424243,0,33,4,2,1,11,24,50707,44000,2.7142857142857144
3,2909600611,2156239,11.16.390.1945,EUN1,11,1,1,1,1,1,2,1,33,3,1,2,8,61,63906,57875,3.6153846153846154,0,26,2,0,0,4,44,57653,55103,2.121212121212121
4,2901035873,2355844,11.15.389.2308,EUN1,11,1,1,1,1,1,1,1,46,3,2,1,7,56,71805,65900,2.125,0,48,3,0,0,3,77,71208,65900,2.717391304347826
5,2869171990,2117528,11.13.382.1241,EUN1,11,2,1,1,2,1,1,1,32,1,0,2,4,47,61231,60185,1.6458333333333333,1,48,4,1,0,6,76,63659,59785,3.875
6,2866359919,2057265,11.13.382.1241,EUN1,11,1,2,2,1,2,1,0,36,2,2,0,9,57,62430,55875,3.4444444444444446,1,27,3,0,1,2,32,55096,52850,1.6388888888888888
7,2967146947,1569,11.22.406.3587,EUN1,11,2,0,2,2,1,2,0,25,1,0,1,3,24,47162,45635,1.0425531914893618,0,47,2,2,0,8,60,59608,54025,4.28
8,2967109245,2037,11.22.406.3587,EUN1,11,2,2,2,2,1,1,0,32,3,0,1,3,51,60977,60120,2.075,2,40,2,1,0,7,67,67504,60851,3.34375
9,2966681468,2492,11.22.406.3587,EUN1,11,1,2,1,1,1,1,0,59,4,3,1,11,67,83922,77100,2.8,1,45,2,0,0,5,50,79033,74980,1.6101694915254237
10,2966142330,1334,11.22.406.3587,EUN1,11,2,0,2,2,2,2,0,22,1,0,0,0,27,36318,31660,1.1136363636363635,0,44,1,1,1,9,41,50882,46335,3.8636363636363638
11,2952273017,1558,11.20.400.7328,EUN1,11,1,1,1,1,1,1,1,39,2,1,1,8,55,55365,44975,4.947368421052632,0,19,0,0,0,1,25,40719,37705,1.1282051282051282
12,2941952723,1784499,11.19.398.9466,EUN1,11,2,0,1,2,1,2,0,20,1,0,1,2,32,47337,44850,1.625,0,32,3,1,0,8,30,55458,47625,3.1
13,2921618238,1498632,11.17.394.4489,EUN1,11,2,0,1,2,2,1,0,22,1,0,0,1,23,41605,38250,1.0975609756097562,0,41,2,3,2,11,36,55645,49190,3.5
14,2921543910,1599622,11.17.394.4489,EUN1,11,1,1,1,1,2,1,1,56,4,3,1,7,59,61716,56225,3.026315789473684,0,38,0,0,1,0,53,50586,48490,1.625
15,2797875300,1404929,11.7.366.7612,EUN1,11,1,0,2,1,1,1,0,32,2,1,2,7,32,47334,44475,6.4,0,10,1,0,0,2,7,36073,32793,0.53125
16,2797892808,671623,11.7.366.7612,EUN1,11,1,0,1,0,2,1,0,11,1,0,0,2,8,23288,18225,3.8,0,5,0,0,1,0,4,14680,12725,0.8181818181818182
17,2929277670,2072934,11.18.395.7538,EUN1,11,2,1,2,2,2,2,1,26,3,0,0,5,43,64262,63175,1.5681818181818181,0,44,2,2,1,9,82,72710,62485,4.846153846153846
18,2929242518,2058742,11.18.395.7538,EUN1,11,1,1,2,2,2,2,1,40,2,1,0,6,79,62878,58360,3.838709677419355,0,31,3,2,2,8,47,64444,62020,1.95
19,2919205713,2199641,11.17.394.4489,EUN1,11,1,2,1,1,1,1,1,36,5,2,1,10,30,77973,66350,1.8333333333333333,1,36,1,0,0,4,51,70051,67458,2.4166666666666665
20,2757096259,1263031,11.5.361.3108,EUN1,11,2,0,2,2,0,2,0,22,0,0,0,1,22,37007,33675,1.3333333333333333,0,33,2,1,0,5,58,44188,36900,4.136363636363637
21,2915259155,979354,11.17.394.4489,EUN1,11,2,0,1,2,2,2,0,9,1,0,0,0,9,24698,22300,0.5806451612903226,0,31,1,1,1,5,39,38477,29325,7.777777777777778
22,2913628301,2192000,11.17.393.607,EUN1,11,1,2,1,1,2,2,1,56,2,3,0,11,61,77415,67913,2.34,1,50,3,0,1,6,57,69560,66300,1.9107142857142858
23,2761468975,2080520,11.5.361.3108,EUN1,11,1,2,1,1,2,1,0,57,4,3,0,9,61,66808,61825,3.6875,1,32,1,0,1,2,48,60925,60355,1.4035087719298245
24,2761276280,1636985,11.5.361.3108,EUN1,11,2,2,2,2,0,2,0,20,0,0,0,1,40,44063,41800,1.4285714285714286,1,42,4,1,0,9,48,58379,51645,4.5
25,2931527944,1345006,11.18.395.7538,EUN1,11,2,2,1,2,2,2,0,8,1,0,0,1,11,35099,32525,0.6785714285714286,1,28,2,1,2,6,57,46661,39500,10.625
26,2931474784,1792526,11.18.395.7538,EUN1,11,2,2,1,2,1,1,0,30,1,1,1,5,50,56211,50700,2.1052631578947367,1,38,3,1,0,8,62,63399,57110,3.3333333333333335
27,2966661570,1650,11.22.406.3587,EUN1,11,1,1,1,1,2,1,1,38,2,2,0,9,46,57785,48675,3.8181818181818183,0,22,1,0,1,3,20,45490,41825,1.105263157894737
28,2966563341,1908,11.22.406.3587,EUN1,11,1,1,2,1,1,1,1,43,4,2,2,9,49,66576,58100,2.967741935483871,0,31,1,0,0,3,45,57117,56102,1.7674418604651163
29,2777889356,2667629,11.6.365.1420,EUN1,11,2,1,2,2,1,2,1,58,4,1,1,7,78,81283,76325,2.0923076923076924,0,65,3,3,0,9,60,83854,87133,2.1551724137931036
30,2777793975,1366340,11.6.365.1420,EUN1,11,2,0,2,2,2,2,0,28,2,0,0,2,46,42321,38813,1.608695652173913,0,46,1,1,1,7,65,50870,46375,3.9642857142857144
31,2966133047,2022,11.22.406.3587,EUN1,11,1,1,1,1,1,1,1,27,3,4,1,10,37,60332,55510,1.7777777777777777,0,36,2,0,0,1,37,57568,49975,2.7037037037037037
32,2965392546,966,11.22.406.3587,EUN1,11,2,0,2,0,2,2,0,8,0,0,0,0,5,23577,21350,0.5,0,26,1,0,1,5,16,34866,30550,5.25
33,2742169980,1832579,11.3.357.5376,EUN1,11,2,2,1,2,2,2,0,36,2,0,0,0,80,55817,53800,2.761904761904762,1,42,3,3,2,9,55,65098,57400,2.6944444444444446
34,2742095744,843316,11.3.357.5376,EUN1,11,1,0,1,1,0,1,0,7,1,2,0,9,7,30949,19200,14.0,0,1,0,0,0,0,0,15510,12150,0.14285714285714285
35,2794783929,1781576,11.7.366.7612,EUN1,11,2,2,2,2,0,1,0,34,0,0,0,3,39,53142,52625,2.0277777777777777,1,36,4,1,0,9,52,58646,51000,2.588235294117647
36,2794788888,1723124,11.7.366.7612,EUN1,11,1,1,1,1,2,2,1,47,4,1,0,9,71,61907,55030,6.9411764705882355,0,17,0,0,1,3,19,48046,46545,0.7659574468085106
37,2967111155,1269,11.22.406.3587,EUN1,11,1,0,1,1,1,1,0,32,2,1,1,5,40,43868,38700,7.2,0,10,0,0,0,0,13,31768,29520,0.71875
38,2967055235,2245,11.22.406.3587,EUN1,11,1,1,1,1,2,2,1,46,4,4,0,11,76,82703,72658,4.6923076923076925,0,26,2,0,1,2,44,60831,58605,1.5217391304347827
39,2944579544,1405,11.20.400.7328,EUN1,11,2,0,1,2,0,2,0,20,2,0,0,2,15,37511,38278,0.7608695652173914,0,46,1,1,0,5,37,50285,44245,4.15
40,2930542156,2809005,11.18.395.7538,EUN1,11,1,1,2,1,2,2,2,72,3,2,0,7,89,96725,82290,2.639344262295082,1,61,4,1,1,7,39,85246,79715,1.3888888888888888
41,2763969300,1337937,11.5.361.3108,EUN1,11,2,2,2,2,2,2,0,10,0,0,0,0,19,33432,30680,0.8787878787878788,1,33,3,3,1,10,41,48511,41660,7.4
42,2763896957,1235028,11.5.361.3108,EUN1,11,2,0,2,0,2,2,0,9,0,0,0,0,10,28926,27433,0.8260869565217391,0,23,2,0,1,5,36,39877,35430,6.555555555555555
43,2947916609,1615,11.20.400.7328,EUN1,11,2,2,2,2,1,2,0,15,0,0,1,1,17,38622,38133,0.6808510638297872,1,47,4,2,1,11,41,56133,45685,5.866666666666666
44,2945056442,1359,11.20.400.7328,EUN1,11,1,0,1,1,1,1,0,44,3,1,2,9,58,53369,45560,6.0,0,17,0,0,0,0,18,35045,33735,0.7954545454545454
45,2947144276,1399,11.20.400.7328,EUN1,11,1,0,2,1,2,2,0,33,2,1,1,8,49,45610,40658,5.125,0,16,1,0,1,2,16,38233,35470,0.9696969696969697
46,2947168902,1481,11.20.400.7328,EUN1,11,1,0,2,1,1,1,0,42,3,2,2,10,55,53899,48883,4.85,0,20,1,0,0,1,21,39220,37675,0.9761904761904762
47,2828293501,2222518,11.9.372.2066,EUN1,11,2,1,2,2,2,2,1,34,2,0,0,7,40,66985,64283,1.7619047619047619,0,42,3,1,1,9,83,72348,64610,3.676470588235294
48,2828270772,1810598,11.9.372.2066,EUN1,11,1,1,1,1,1,2,1,36,4,1,2,7,62,57926,52345,5.444444444444445,0,18,0,0,0,2,28,45009,41875,1.2777777777777777
49,2966705560,1722,11.22.406.3587,EUN1,11,1,1,1,1,0,2,2,23,3,1,0,8,38,61559,54840,3.210526315789474,0,19,1,0,0,2,22,46397,44875,1.7826086956521738
50,2966280057,2013,11.22.406.3587,EUN1,11,2,1,1,1,1,1,1,30,1,3,1,8,40,64847,62283,1.2727272727272727,1,55,4,1,1,8,100,75395,67625,5.166666666666667
51,2891140315,1150620,11.15.389.2308,EUN1,11,1,0,1,1,1,2,0,29,2,2,1,9,20,39411,34858,7.0,0,7,0,0,0,1,3,26894,24100,0.3448275862068966
52,2865170099,2568718,11.13.382.1241,EUN1,11,2,2,1,2,1,1,1,42,2,0,1,4,50,72901,63850,2.358974358974359,2,39,4,5,0,11,62,76886,70285,2.4047619047619047
53,2953101453,1250,11.20.400.7328,EUN1,11,2,0,2,0,0,1,0,17,0,0,0,1,12,32334,30125,1.0740740740740742,0,27,2,0,0,4,37,40625,34408,3.764705882352941
54,2952460796,2108,11.20.400.7328,EUN1,11,2,0,2,2,2,2,0,21,0,0,0,2,24,50291,47500,1.25,0,36,4,1,1,10,42,62325,51375,3.7142857142857144
55,2766255247,992110,11.5.361.3108,EUN1,11,2,0,1,2,2,2,0,8,1,0,0,0,11,24784,20950,0.8260869565217391,0,23,1,1,1,4,17,33282,29285,5.0
56,2766242441,1770867,11.5.361.3108,EUN1,11,1,1,1,1,2,1,1,39,3,1,1,9,26,57805,48825,2.9545454545454546,0,22,1,0,1,0,32,47375,43710,1.3846153846153846
57,2891195051,1927324,11.15.389.2308,EUN1,11,1,1,2,1,2,2,1,37,1,1,0,7,55,61348,54595,2.4210526315789473,0,38,4,0,1,5,39,60221,57700,2.081081081081081
58,2889778368,1837845,11.15.388.2387,EUN1,11,2,2,1,2,1,1,0,19,2,0,2,4,23,50595,48260,1.2727272727272727,1,33,3,1,0,7,64,60267,54810,5.105263157894737
59,2838516118,1437865,11.10.376.4811,EUN1,11,1,0,2,1,1,1,0,44,2,2,1,10,54,52385,42450,4.9,0,20,1,0,0,0,29,39599,37110,1.1136363636363635
60,2838472838,1145980,11.10.376.4811,EUN1,11,2,0,2,2,2,2,0,13,0,0,0,1,17,31413,28875,0.9375,0,32,2,2,1,10,26,44692,38358,4.461538461538462
61,2833426505,1951965,11.10.374.9538,EUN1,11,2,1,1,2,2,2,1,47,1,0,0,3,54,63974,60650,1.9423076923076923,0,52,3,2,1,10,48,72677,64933,2.127659574468085
62,2833384722,989321,11.10.374.9538,EUN1,11,1,0,1,1,1,1,0,14,2,2,1,8,17,34550,27375,7.75,0,4,0,0,0,0,1,18877,14575,0.35714285714285715
63,2967034901,2356,11.22.406.3587,EUN1,11,2,1,2,1,1,1,1,39,2,1,2,7,46,73903,72175,1.25,0,68,4,1,0,7,131,74540,70333,5.102564102564102
64,2965403415,2452,11.22.406.3587,EUN1,11,2,2,1,2,2,2,0,44,2,0,1,5,56,72635,68760,2.380952380952381,1,42,4,3,1,11,65,77961,71050,2.4318181818181817
