,gameId,gameDuration,gameVersion,platformId,season,winner,1st_baron,1st_dragon,1st_inhibitor,1st_riftHerald,1st_tower,t1_baron_kills,t1_champ_kills,t1_dragon_kills,t1_inhibitor_kills,t1_riftHerald_kills,t1_tower_kills,t1_team_assists,t1_team_gold_earn,t1_team_gold_spen,t1_team_kda,t2_baron_kills,t2_champ_kills,t2_dragon_kills,t2_inhibitor_kills,t2_riftHerald_kills,t2_tower_kills,t2_team_assists,t2_team_gold_earn,t2_team_gold_spen,t2_team_kda
0,4093005308,2119,11.22.406.3587,NA1,11,2,2,1,2,1,1,0,35,2,0,2,7,58,64399,61735,2.1627906976744184,1,43,4,2,0,9,73,72962,66900,3.3142857142857145
1,4075410742,1931,11.20.400.7328,NA1,11,1,1,2,1,1,1,1,44,3,1,2,7,63,67140,60900,3.8214285714285716,0,28,2,0,0,4,43,55037,54208,1.6136363636363635
2,3905301824,1065734,11.10.374.9538,NA1,11,1,2,1,1,1,1,0,19,2,2,1,9,30,39107,27275,9.8,0,5,0,0,0,0,5,24918,19600,0.5263157894736842
3,3904688211,2277873,11.10.374.9538,NA1,11,1,1,1,1,1,1,1,34,3,2,1,10,51,71099,65600,2.65625,0,32,2,0,0,3,42,63978,62635,2.176470588235294
4,4092696441,2073,11.22.406.3587,NA1,11,2,1,2,1,2,2,1,56,1,1,0,5,81,71052,68300,2.537037037037037,1,54,4,2,2,10,69,75833,67250,2.1964285714285716
5,4092672535,1178,11.22.406.3587,NA1,11,1,2,2,2,1,1,0,28,1,0,2,3,21,37531,31850,4.454545454545454,0,11,1,0,0,0,5,27913,25285,0.5714285714285714
6,4091749734,1974,11.22.406.3587,NA1,11,2,2,2,2,2,1,0,24,2,0,1,3,30,52904,51340,1.5,1,36,3,2,1,8,52,60580,54675,3.6666666666666665
7,4087557238,1959,11.21.403.3002,NA1,11,2,2,2,2,2,2,0,26,0,0,0,0,39,51461,49310,1.3829787234042554,0,47,4,3,1,10,62,65281,59005,4.1923076923076925
8,3936225307,643488,11.11.377.6311,NA1,11,2,2,1,2,2,2,0,3,1,0,0,0,2,13946,9250,0.3333333333333333,0,15,0,0,1,0,17,21179,15275,10.666666666666666
9,3934219853,1718897,11.11.377.6311,NA1,11,2,2,2,2,1,2,0,34,2,0,1,0,56,49160,45825,1.836734693877551,0,49,2,1,0,8,42,55987,50875,2.676470588235294
10,4075592803,1152,11.20.400.7328,NA1,11,2,2,1,2,2,2,0,13,1,0,0,1,15,30683,28150,1.2173913043478262,0,23,2,1,1,5,25,39285,33360,3.6923076923076925
11,4066235574,1619,11.20.400.7328,NA1,11,2,2,2,2,2,2,0,21,0,0,0,1,23,45383,42770,1.1578947368421053,1,38,4,3,2,11,52,58953,51735,4.285714285714286
12,4054586052,2121952,11.19.398.9466,NA1,11,2,2,2,2,2,2,0,37,0,0,0,2,58,65068,60125,2.111111111111111,1,45,5,3,2,11,45,74983,66160,2.4324324324324325
13,3968864159,1673249,11.13.382.1241,NA1,11,2,2,2,2,1,2,0,15,0,0,1,1,28,44076,42110,1.8695652173913044,1,23,4,0,0,4,43,52733,47345,4.4
14,4013714396,1601083,11.16.390.1945,NA1,11,2,2,1,2,2,2,0,15,1,0,0,1,19,41172,38685,0.9714285714285714,1,35,2,3,1,11,44,58399,49510,5.266666666666667
15,3996367783,1561151,11.15.389.2308,NA1,11,2,2,1,2,1,2,0,10,1,0,1,3,10,39858,38145,0.6896551724137931,1,29,2,1,0,8,43,52887,41700,7.2
16,4093000020,1629,11.22.406.3587,NA1,11,2,2,2,2,2,2,0,32,2,0,1,1,62,46420,43625,2.238095238095238,1,42,2,2,1,10,42,60902,51900,2.625
17,4092352292,1999,11.22.406.3587,NA1,11,1,2,1,1,2,2,0,36,4,1,0,7,49,62407,54725,2.5,1,34,1,0,0,3,49,61500,59675,2.3055555555555554
18,4089968840,1346,11.22.406.3587,NA1,11,1,2,1,1,2,2,0,26,3,1,0,6,31,45277,37035,2.85,0,20,0,0,0,2,22,38133,36355,1.6153846153846154
19,4089867089,1438,11.22.406.3587,NA1,11,1,1,1,1,1,2,1,43,2,1,2,10,43,53280,48025,4.095238095238095,0,21,1,0,0,1,22,38967,37735,1.0
20,4049802648,1826746,11.19.398.2521,NA1,11,2,2,2,2,2,2,0,19,0,0,0,1,17,49627,46960,1.2857142857142858,1,28,4,2,2,11,41,60991,54575,3.6315789473684212
21,4049769322,1665266,11.19.398.2521,NA1,11,1,1,2,1,2,1,1,36,2,2,0,9,45,61926,61060,3.1153846153846154,0,26,2,0,1,2,31,49169,45750,1.5833333333333333
22,4092971226,1416,11.22.406.3587,NA1,11,2,2,2,2,2,2,0,13,0,0,0,0,15,35124,31670,1.037037037037037,1,27,4,1,2,6,33,48165,42885,4.615384615384615
23,4087464579,2380,11.21.403.3002,NA1,11,1,1,1,1,1,1,2,44,4,7,1,11,67,81357,74575,2.9210526315789473,0,38,2,0,0,1,84,73408,72700,2.772727272727273
24,4018954249,1790006,11.16.390.1945,NA1,11,1,1,1,1,1,1,1,38,4,2,2,10,50,57218,47260,6.285714285714286,0,14,0,0,0,2,15,39830,35150,0.7631578947368421
25,4018923989,1929697,11.16.390.1945,NA1,11,2,2,1,2,2,2,0,28,2,0,0,2,50,55481,51950,1.8571428571428572,1,42,2,3,1,11,47,65198,55470,3.1785714285714284
26,4088610525,960,11.21.403.3002,NA1,11,2,2,2,2,2,2,0,7,0,0,0,0,4,22608,19800,0.55,0,20,2,0,1,4,18,34042,29800,5.428571428571429
27,4085107188,1933,11.21.403.3002,NA1,11,1,1,1,1,1,1,1,46,3,1,1,8,56,68780,62890,2.8333333333333335,0,36,2,0,0,3,43,58637,54960,1.7173913043478262
28,4092599300,1684,11.22.406.3587,NA1,11,2,2,2,2,1,2,0,23,0,0,1,3,19,46249,44425,1.1666666666666667,1,36,4,2,0,10,40,59635,52655,3.3043478260869565
29,4091446154,1573,11.22.406.3587,NA1,11,1,1,2,1,1,1,1,46,2,1,2,7,51,56984,52500,3.730769230769231,0,26,1,0,0,2,33,46581,43900,1.2826086956521738
30,4092307052,1987,11.22.406.3587,NA1,11,1,1,2,1,1,1,1,53,4,5,2,11,54,73488,66275,3.1470588235294117,1,34,1,0,0,3,48,65378,61740,1.5471698113207548
31,4080048053,2452,11.21.403.3002,NA1,11,1,1,1,2,2,2,2,46,3,1,0,5,87,80368,72375,3.5,0,38,3,4,1,11,39,75115,81360,1.673913043478261
32,4093121848,2733,11.22.406.3587,NA1,11,1,1,2,1,2,2,1,53,4,4,0,10,73,86659,76500,2.52,0,50,3,0,2,5,58,87849,83260,2.0377358490566038
33,4091669310,1297,11.22.406.3587,NA1,11,2,2,2,2,2,2,0,14,0,0,0,0,24,30364,27550,0.9743589743589743,0,39,3,2,2,10,32,50028,41550,5.071428571428571
34,4040030676,1937446,11.18.395.7538,NA1,11,2,2,1,2,2,1,0,40,2,0,0,4,59,61793,58733,2.2,2,45,3,2,1,11,77,71416,65860,3.05
35,4030194736,1638177,11.17.394.4489,NA1,11,1,1,1,1,1,1,1,43,3,2,2,10,59,63909,53925,5.368421052631579,0,19,1,0,0,3,25,47593,45335,1.0232558139534884
36,4093071711,922,11.22.406.3587,NA1,11,1,2,1,2,1,1,0,21,2,0,1,3,28,32125,27500,7.0,0,7,0,0,0,0,10,22038,19755,0.8095238095238095
37,4092620343,1815,11.22.406.3587,NA1,11,2,2,1,2,2,2,0,23,1,0,0,4,38,55749,53185,1.4186046511627908,1,43,2,2,1,10,42,65085,62735,3.6956521739130435
38,4084318590,2009,11.21.403.3002,NA1,11,2,2,1,2,2,1,0,22,2,0,0,5,21,57316,52900,1.2647058823529411,2,34,3,2,1,10,50,66267,61400,3.8181818181818183
39,4083515159,1535,11.21.403.3002,NA1,11,2,2,2,2,2,2,0,14,0,0,0,0,9,39701,36433,0.7419354838709677,0,31,4,0,1,5,38,49142,44095,4.928571428571429
40,3939515013,1435781,11.12.379.4946,NA1,11,2,2,1,2,2,2,0,9,1,0,0,0,11,32157,28475,0.8333333333333334,1,24,2,1,1,8,39,45695,37375,7.0
41,3931298987,627773,11.11.377.6311,NA1,11,1,2,1,2,2,2,0,8,1,0,0,0,9,18277,13300,4.25,0,4,0,0,0,0,1,13559,10475,0.625
42,4087361652,2032,11.21.403.3002,NA1,11,2,1,2,2,2,2,1,29,2,0,0,5,55,58543,58100,3.0,1,28,4,1,2,7,50,60888,53790,2.689655172413793
43,4082592089,2442,11.21.403.3002,NA1,11,1,2,1,2,2,1,1,42,5,1,0,9,50,80892,75875,2.0444444444444443,2,45,1,1,0,9,44,78187,71900,2.119047619047619
44,3763266004,1914985,11.2.353.8505,NA1,11,2,2,2,2,2,2,0,23,1,0,0,3,30,50182,49200,1.1777777777777778,1,45,4,1,2,10,45,62938,53275,3.9130434782608696
45,3750278588,2192553,11.1.352.5559,NA1,11,2,2,2,1,1,1,0,24,1,1,1,5,24,54713,48570,1.1162790697674418,1,43,3,1,0,6,68,66026,54550,4.625
46,3794235316,2237239,11.4.360.513,NA1,11,2,2,1,2,1,1,0,42,4,0,1,5,55,66831,64133,2.6944444444444446,1,36,1,3,1,10,41,70340,63660,1.8333333333333333
47,3794169483,2119714,11.4.360.513,NA1,11,2,2,1,2,1,1,0,41,4,1,1,6,51,64419,57791,2.0,1,46,2,3,0,10,72,69161,58955,2.8780487804878048
48,3951985473,1757341,11.12.379.4946,NA1,11,2,2,1,2,1,2,0,43,3,0,1,6,61,59243,54415,2.810810810810811,1,37,1,1,1,10,50,59970,55508,2.0232558139534884
49,3951584014,1967427,11.12.379.4946,NA1,11,2,2,1,2,1,1,0,21,1,0,1,3,26,52360,49555,1.205128205128205,2,39,4,2,0,10,49,64005,53158,4.190476190476191
50,4013604992,2049262,11.16.390.1945,NA1,11,2,2,2,2,1,1,0,28,0,0,1,3,45,57200,55100,1.6590909090909092,1,44,5,0,0,4,73,67182,61145,4.178571428571429
51,4013538651,2052398,11.16.390.1945,NA1,11,1,1,2,1,1,1,1,37,2,4,1,10,53,66263,59725,3.2142857142857144,0,28,3,0,0,2,58,58748,56490,2.324324324324324
52,3985874148,1220840,11.15.388.2387,NA1,11,2,2,2,2,2,2,0,16,0,0,0,1,11,36540,34525,1.0384615384615385,0,26,2,1,1,7,15,41898,39010,2.5625
53,3985709161,1431218,11.15.388.2387,NA1,11,2,2,2,2,2,2,0,19,0,0,0,0,24,39668,36370,1.0,1,43,3,2,1,7,48,53330,46885,4.7894736842105265
54,3864987742,1167298,11.7.366.7612,NA1,11,1,2,1,2,2,1,0,21,3,0,0,4,27,39154,34183,9.6,0,5,0,0,0,0,5,27214,23810,0.47619047619047616
55,3864222761,1728727,11.7.366.7612,NA1,11,1,1,1,1,2,2,1,47,3,3,0,11,42,65013,61343,3.869565217391304,0,23,0,0,0,2,30,52536,50350,1.127659574468085
56,4092979607,1535,11.22.406.3587,NA1,11,1,1,1,1,1,1,1,32,2,1,2,9,56,56776,51155,3.3846153846153846,0,26,1,0,0,3,27,47432,44400,1.65625
