,gameId,gameDuration,gameVersion,platformId,season,winner,1st_baron,1st_dragon,1st_inhibitor,1st_riftHerald,1st_tower,t1_baron_kills,t1_champ_kills,t1_dragon_kills,t1_inhibitor_kills,t1_riftHerald_kills,t1_tower_kills,t1_team_assists,t1_team_gold_earn,t1_team_gold_spen,t1_team_kda,t2_baron_kills,t2_champ_kills,t2_dragon_kills,t2_inhibitor_kills,t2_riftHerald_kills,t2_tower_kills,t2_team_assists,t2_team_gold_earn,t2_team_gold_spen,t2_team_kda
0,5103630523,1867662,11.4.358.8046,EUW1,11,1,1,1,1,2,2,1,44,3,1,0,7,60,62779,55550,3.586206896551724,0,29,1,0,2,4,31,53373,53555,1.3636363636363635
1,5101645094,2049003,11.3.357.5376,EUW1,11,1,1,2,1,1,1,1,38,2,5,1,11,36,66078,62295,2.0555555555555554,0,36,1,0,0,1,29,64008,59375,1.7105263157894737
2,5361779683,2288992,11.14.385.9967,EUW1,11,2,2,1,1,1,2,0,34,4,1,1,7,45,67041,66035,1.6808510638297873,2,47,2,1,0,9,70,76853,68760,3.4411764705882355
3,5361114723,2042561,11.14.385.9967,EUW1,11,2,2,2,2,2,2,0,35,2,0,1,4,33,60283,52925,1.837837837837838,2,37,3,4,1,11,40,68664,58900,2.2
4,5521520203,1258,11.21.403.3002,EUW1,11,2,2,1,2,2,2,0,12,1,0,0,0,13,32155,30075,1.0,0,25,2,0,2,4,27,40229,39475,4.333333333333333
5,5513543155,1727,11.20.400.7328,EUW1,11,1,2,1,1,1,1,0,54,4,2,2,6,39,60540,53250,3.1,0,30,0,0,0,0,40,49315,47200,1.2962962962962963
6,5539572443,1716,11.22.406.3587,EUW1,11,1,1,2,1,2,1,1,41,2,2,0,9,75,61071,55808,5.043478260869565,0,23,2,0,1,2,31,48772,46800,1.3170731707317074
7,5539479465,1926,11.22.406.3587,EUW1,11,1,1,2,1,1,2,1,23,0,1,2,8,39,62473,56675,3.4444444444444446,0,18,4,0,0,6,29,59638,57425,2.0434782608695654
8,5540096928,2029,11.22.406.3587,EUW1,11,2,1,2,2,1,1,1,37,2,0,2,6,46,65881,63905,1.8043478260869565,1,46,3,1,0,7,65,69407,61933,3.0
9,5540131219,1319,11.22.406.3587,EUW1,11,1,2,1,1,1,1,0,37,3,1,2,9,35,51198,47435,4.235294117647059,0,17,0,0,0,0,14,35621,33135,0.8378378378378378
10,5511216536,2031,11.20.400.7328,EUW1,11,2,2,1,2,2,2,0,39,1,0,0,4,37,65170,63800,1.4339622641509433,2,53,4,2,1,7,59,74289,75035,2.871794871794872
11,5510920838,2109,11.20.400.7328,EUW1,11,2,2,2,2,2,2,0,23,1,0,0,1,44,57976,58645,2.0303030303030303,2,33,4,4,1,11,45,71967,63600,3.391304347826087
12,5539762734,2020,11.22.406.3587,EUW1,11,1,1,2,1,1,1,1,44,3,1,1,10,74,68320,58825,5.130434782608695,0,23,2,0,0,3,36,56703,54150,1.3409090909090908
13,5539709367,1375,11.22.406.3587,EUW1,11,2,2,2,2,1,1,0,16,0,0,2,3,15,40747,38380,0.96875,1,32,2,0,0,5,49,50123,44840,5.0625
14,5538165077,1930,11.22.406.3587,EUW1,11,2,2,1,1,2,1,0,26,3,2,0,10,36,57026,53808,1.2653061224489797,1,49,2,1,1,7,70,64196,58840,4.576923076923077
15,5536694427,1807,11.22.406.3587,EUW1,11,2,2,1,2,1,2,0,28,2,0,1,2,31,48896,46125,1.5945945945945945,1,37,2,2,1,10,39,60768,54925,2.7142857142857144
16,5522547338,2126,11.21.403.3002,EUW1,11,1,1,1,1,1,1,1,59,5,3,1,11,73,79857,76750,4.258064516129032,0,31,0,0,1,4,41,68285,64850,1.2203389830508475
17,5473716199,2282266,11.19.398.9466,EUW1,11,2,1,2,2,1,1,1,65,2,2,1,8,79,83671,77800,2.440677966101695,0,59,4,4,0,11,79,83462,76995,2.123076923076923
18,5163116770,1916024,11.6.365.1420,EUW1,11,1,2,1,1,1,2,0,41,4,1,1,7,41,63910,55640,2.342857142857143,1,35,1,0,0,4,34,61644,59835,1.6829268292682926
19,5163112992,1625246,11.6.365.1420,EUW1,11,2,2,2,1,1,1,0,43,2,2,1,6,46,55409,51595,2.870967741935484,1,31,1,3,0,11,30,58797,51400,1.4186046511627908
20,5165094620,1343010,11.6.365.1420,EUW1,11,2,2,2,2,1,1,0,12,0,0,1,1,17,36439,32135,1.0,0,29,2,2,1,10,30,45787,39975,4.916666666666667
21,5165056970,1716358,11.6.365.1420,EUW1,11,1,1,2,1,1,1,1,38,3,1,1,8,52,61357,56258,4.7368421052631575,0,19,1,0,0,2,27,46200,45360,1.2105263157894737
22,5540206123,1963,11.22.406.3587,EUW1,11,2,2,2,2,2,2,0,30,3,0,0,3,45,57663,53200,1.9736842105263157,1,38,2,2,1,9,58,62845,59875,3.2
23,5540230939,1344,11.22.406.3587,EUW1,11,2,2,2,2,2,2,0,15,0,0,0,1,9,35016,30685,0.631578947368421,0,38,3,0,2,5,40,48240,44510,5.2
24,5151105155,1973630,11.5.361.3108,EUW1,11,1,2,1,1,2,2,0,45,2,1,0,7,52,62286,55275,3.03125,1,32,2,0,1,5,38,60137,55805,1.5555555555555556
25,5144541610,1257786,11.5.361.3108,EUW1,11,1,2,1,1,1,1,0,31,2,1,1,7,35,42235,35630,9.428571428571429,0,7,0,0,0,0,11,27808,25135,0.5806451612903226
