,id
0,NA1_4077870121
1,NA1_4077845177
2,NA1_4077830635
3,NA1_4075756112
4,NA1_4075751068
5,NA1_4072748660
6,NA1_4072011033
7,NA1_4070875639
8,NA1_4070048447
9,NA1_4069341396
10,NA1_4076990356
11,NA1_4076892814
12,NA1_4075919560
13,NA1_4075877087
14,NA1_4075853298
15,NA1_4075782623
16,NA1_4075710714
17,NA1_4075286426
18,NA1_4075247930
19,NA1_4075034683
20,NA1_4078162039
21,NA1_4078115121
22,NA1_4076114591
23,NA1_4076055732
24,NA1_4076040971
25,NA1_4074573868
26,NA1_4074517327
27,NA1_4073482671
28,NA1_4073435289
29,NA1_4073316439
30,NA1_4078704655
31,NA1_4078641331
32,NA1_4078611790
33,NA1_4078252976
34,NA1_4078008974
35,NA1_4077890174
36,NA1_4077803103
37,NA1_4077766844
38,NA1_4077677768
39,NA1_4077465229
40,NA1_4078901061
41,NA1_4078717039
42,NA1_4078534308
43,NA1_4077950385
44,NA1_4077819591
45,NA1_4077037859
46,NA1_4075134929
47,NA1_4074231341
48,NA1_4074136261
49,NA1_4072839967
50,NA1_4076993770
51,NA1_4076899039
52,NA1_4076889291
53,NA1_4075695911
54,NA1_4075742649
55,NA1_4075711697
56,NA1_4074990505
57,NA1_4074922703
58,NA1_4074959917
59,NA1_4073132431
60,NA1_4078875490
61,NA1_4078063120
62,NA1_4077038818
63,NA1_4075789099
64,NA1_4074908292
65,NA1_4073168502
66,NA1_4072500794
67,NA1_4070487317
68,NA1_4070454144
69,NA1_4078403502
70,NA1_4077314608
71,NA1_4076045974
72,NA1_4075338772
73,NA1_4071930737
74,NA1_4071869428
75,NA1_4071867868
76,NA1_4071875815
77,NA1_4071559666
78,NA1_4069271701
79,NA1_4077211825
80,NA1_4076161291
81,NA1_4076081550
82,NA1_4076024226
83,NA1_4067788274
84,NA1_4067833062
85,NA1_4067684851
86,NA1_4067690981
87,NA1_4067045629
88,NA1_4066934897
89,NA1_4078090043
90,NA1_4076896319
91,NA1_4076879214
92,NA1_4075701656
93,NA1_4075644493
94,NA1_4072964671
95,NA1_4072888672
96,NA1_4072903389
97,NA1_4072117916
98,NA1_4072110432
99,NA1_4078834450
100,NA1_4078791384
101,NA1_4078771652
102,NA1_4078588432
103,NA1_4078576264
104,NA1_4078603415
105,NA1_4078532256
106,NA1_4078748331
107,NA1_4078752391
108,NA1_4078686805
109,NA1_4078681104
110,NA1_4078622273
111,NA1_4078549357
112,NA1_4078565312
113,NA1_4078654314
114,NA1_4078615176
115,NA1_4078231758
116,NA1_4078187600
117,NA1_4078172785
118,NA1_4078082445
119,NA1_4078015845
120,NA1_4077957642
121,NA1_4075774427
122,NA1_4075748767
123,NA1_4075716759
124,NA1_4075050091
125,NA1_4074983149
126,NA1_4073488926
127,NA1_4073413756
128,NA1_4072644500
129,NA1_4072659810
130,NA1_4078858754
131,NA1_4078767846
132,NA1_4078595654
133,NA1_4078558257
134,NA1_4078167201
135,NA1_4078161772
136,NA1_4078038474
137,NA1_4078769471
138,NA1_4078579387
139,NA1_4078110561
140,NA1_4077979963
141,NA1_4077895105
142,NA1_4077854058
143,NA1_4077342486
144,NA1_4077284622
145,NA1_4077201300
146,NA1_4075860596
147,NA1_4075776314
148,NA1_4075803691
149,NA1_4075800254
150,NA1_4075683727
151,NA1_4074989990
152,NA1_4074916321
153,NA1_4074555138
154,NA1_4074510188
155,NA1_4078775373
156,NA1_4078644580
157,NA1_4078067660
158,NA1_4077992616
159,NA1_4077876568
160,NA1_4077238149
161,NA1_4077092435
162,NA1_4078817097
163,NA1_4078743600
164,NA1_4078119471
165,NA1_4077755310
166,NA1_4077709683
167,NA1_4077628639
168,NA1_4077424593
169,NA1_4077286500
170,NA1_4077175692
171,NA1_4072642612
172,NA1_4072596084
173,NA1_4072533788
174,NA1_4072540367
175,NA1_4072521408
176,NA1_4072434851
177,NA1_4071779507
178,NA1_4078201603
179,NA1_4077776184
180,NA1_4075808822
181,NA1_4075781554
182,NA1_4075738056
183,NA1_4075681678
184,NA1_4073147061
185,NA1_4072454283
186,NA1_4072378767
187,NA1_4072192225
188,NA1_4070672691
189,NA1_4070459327
190,NA1_4070462982
191,NA1_4070396361
192,NA1_4078869306
193,NA1_4078008797
194,NA1_4077983808
195,NA1_4077917758
196,NA1_4077872313
197,NA1_4077866897
198,NA1_4077769403
199,NA1_4077786434
200,NA1_4078607446
201,NA1_4078629784
202,NA1_4077520591
203,NA1_4077468872
204,NA1_4077474161
205,NA1_4077492228
206,NA1_4077440505
207,NA1_4077220539
208,NA1_4076986203
209,NA1_4076226858
210,NA1_4076192748
211,NA1_4077552627
212,NA1_4076837518
213,NA1_4075691209
214,NA1_4074846153
215,NA1_4073755203
216,NA1_4070983690
217,NA1_4070962197
218,NA1_4070615500
219,NA1_4078616197
220,NA1_4078546869
221,NA1_4078499137
222,NA1_4078193699
223,NA1_4078146565
224,NA1_4077343912
225,NA1_4077278644
226,NA1_4071894219
227,NA1_4071873346
228,NA1_4071521873
229,NA1_4071405804
230,NA1_4071053253
231,NA1_4071041111
232,NA1_4070758716
233,NA1_4070513833
234,NA1_4070296622
235,NA1_4069688963
236,NA1_4077781978
237,NA1_4076193264
238,NA1_4076129456
239,NA1_4073257840
240,NA1_4072332555
241,NA1_4072278579
242,NA1_4078798539
243,NA1_4074897648
244,NA1_4074831812
245,NA1_4074714276
246,NA1_4074039429
247,NA1_4074020506
248,NA1_4078881599
249,NA1_4078795540
250,NA1_4078719297
251,NA1_4078678491
252,NA1_4078602403
253,NA1_4078704135
254,NA1_4078629703
255,NA1_4078251971
256,NA1_4078179519
257,NA1_4078183058
258,NA1_4078824374
259,NA1_4078573757
260,NA1_4075794803
261,NA1_4074470991
262,NA1_4071164818
263,NA1_4071201629
264,NA1_4071059496
265,NA1_4078872215
266,NA1_4078846072
267,NA1_4078492669
268,NA1_4078440489
269,NA1_4078368763
270,NA1_4078385746
271,NA1_4078421985
272,NA1_4078328934
273,NA1_4078305937
274,NA1_4077716350
275,NA1_4077673826
276,NA1_4077682017
277,NA1_4077179848
278,NA1_4077161748
279,NA1_4075305484
280,NA1_4075310216
281,NA1_4075205427
282,NA1_4077790568
283,NA1_4077678122
284,NA1_4076973010
285,NA1_4075628556
286,NA1_4075466786
287,NA1_4074552819
288,NA1_4074466161
289,NA1_4074441381
290,NA1_4078844771
291,NA1_4078039412
292,NA1_4078030979
293,NA1_4077965060
294,NA1_4074931653
295,NA1_4074071372
296,NA1_4074017329
297,NA1_4074033733
298,NA1_4073901334
299,NA1_4073072612
300,NA1_4073039924
301,NA1_4072765447
302,NA1_4067548536
303,NA1_4077436482
304,NA1_4077393311
305,NA1_4077378835
306,NA1_4075345277
307,NA1_4075350227
308,NA1_4071709518
309,NA1_4071745113
310,NA1_4077778760
311,NA1_4077247961
312,NA1_4076040999
313,NA1_4074806776
314,NA1_4069787998
315,NA1_4069782670
316,NA1_4068454549
317,NA1_4075661931
318,NA1_4075650345
319,NA1_4075185630
320,NA1_4075108266
321,NA1_4075112025
322,NA1_4074182566
323,NA1_4074118521
324,NA1_4078799163
325,NA1_4078128160
326,NA1_4078131199
327,NA1_4078004658
328,NA1_4077889253
329,NA1_4074901509
330,NA1_4074680870
331,NA1_4078669307
332,NA1_4078682054
333,NA1_4078436398
334,NA1_4077832319
335,NA1_4077734934
336,NA1_4077703298
337,NA1_4077659699
338,NA1_4078565918
339,NA1_4077619473
340,NA1_4077596040
341,NA1_4076907090
342,NA1_4076944340
343,NA1_4076868667
344,NA1_4075752658
345,NA1_4075688472
346,NA1_4076931199
347,NA1_4074918625
348,NA1_4074626596
349,NA1_4074564687
350,NA1_4071815012
351,NA1_4071821201
352,NA1_4067853410
353,NA1_4067795049
354,NA1_4066242182
355,NA1_4076911705
356,NA1_4074948333
357,NA1_4074973986
358,NA1_4074877644
359,NA1_4074903544
360,NA1_4074872799
361,NA1_4074840954
362,NA1_4078897752
363,NA1_4077939828
364,NA1_4077924092
365,NA1_4078702586
366,NA1_4078360600
367,NA1_4077538405
368,NA1_4077526665
369,NA1_4077573339
370,NA1_4075520018
371,NA1_4074968368
